No,Player,G,Min,Pts,Reb,Ast,Stl,Blk,To,Pf,Dreb,Oreb,Fgm-a,Pct,3gm-a,Pct,Ftm-a,Pct,eff
1,L. James,4,43.7,32.8,9.8,9,3,2,4.5,2.5,9.3,0.5,12.5-23.0,0.543,2.3-5.0,0.45,5.5-9.5,0.579,37.5
2,R. Westbrook,4,38.2,35,12,11.3,3,0.5,5.8,2.8,11,1,11.0-29.5,0.373,2.0-7.8,0.258,11.0-13.3,0.83,35.3
3,K. Leonard,4,36.7,32.5,6.5,3.3,2,0.3,2.8,2.3,5.8,0.8,10.0-17.3,0.58,2.5-4.8,0.526,10.0-10.0,1,34.5
4,C. Paul,4,36.1,26.8,6.3,10.8,2.3,0.3,2.5,3.5,5.3,1,10.3-19.3,0.532,1.8-4.8,0.368,4.5-5.0,0.9,34.3
5,J. Wall,3,36,31,4.3,10,0.7,0.7,3.3,2,4.3,0,10.3-18.7,0.554,1.7-2.3,0.714,8.7-10.3,0.839,33.3
6,K. Durant,1,35.9,32,10,2,0,1,3,2,9,1,12.0-20.0,0.6,2.0-6.0,0.333,6.0-7.0,0.857,33
7,D. Green,3,35.8,11.3,10.7,8.7,2,4.7,2,3.7,9.7,1,3.0-7.0,0.429,2.0-4.0,0.5,3.3-5.0,0.667,29.7
8,J. Harden,4,37.4,33,6,7.8,1.3,0.3,5.8,3.5,5.5,0.5,9.0-20.5,0.439,2.5-9.3,0.27,12.5-14.0,0.893,29.5
9,P. George,4,42.9,28,8.8,7.3,1.8,0.3,3.3,3.3,7.5,1.3,8.5-22.0,0.386,4.5-10.5,0.429,6.5-7.5,0.867,28.3
10,P. Millsap,3,34,25,8.7,3.3,1,1,3.7,2.7,7.3,1.3,7.7-14.0,0.548,0.3-1.7,0.2,9.3-11.7,0.8,26.7
11,M. Conley,4,35.9,24,4,7.8,1.3,0.5,2,1.5,3.8,0.3,8.3-17.0,0.485,3.0-6.3,0.48,4.5-5.5,0.818,25.8
12,A. Horford,4,35.3,14.8,9.5,5.8,1.5,0.8,1.3,1,7.5,2,6.3-11.5,0.543,1.0-2.0,0.5,1.3-1.5,0.833,25.5
13,S. Curry,3,35.1,27.3,5,6,2.3,1,3.3,2.3,4,1,8.3-20.7,0.403,4.0-11.3,0.353,6.7-7.7,0.87,25
14,J. Butler,4,42,24.8,7.3,5,1.8,1,2.5,2.3,5.5,1.8,7.8-18.8,0.413,1.0-4.0,0.25,8.3-10.3,0.805,24.3
15,R. Rondo,2,33.7,11.5,8,10,3.5,0.5,2,3,5,3,5.5-13.0,0.423,0.0-3.0,-,0.5-1.0,0.5,23.5
16,G. Antetokounmpo,4,38.9,21.3,10,4.5,2,1.3,3.8,3,7.8,2.3,8.8-17.8,0.493,0.8-2.0,0.375,3.0-6.0,0.5,23.3
17,D. Schroder,3,35.1,25,3,8,1,0,2,3.3,2,1,8.7-19.7,0.441,2.3-6.7,0.35,5.3-6.7,0.8,22.7
18,D. Jordan,4,36.7,14.3,13.3,0.5,0.5,1.3,1.8,4.3,9.8,3.5,5.8-8.3,0.697,0.0-0.3,-,2.8-6.3,0.44,22
19,G. Monroe,4,23.8,15.5,8.8,1.8,1.5,0.5,1,3,5.5,3.3,5.3-10.0,0.525,0.0-0.0,-,5.0-6.0,0.833,21.3
20,M. Gasol,4,38.5,20.3,7.3,3,0.5,1,2.8,3.5,6,1.3,7.0-14.8,0.475,1.5-2.3,0.667,4.8-5.0,0.95,21.3
21,I. Thomas,4,36.8,25.5,3.8,6,1,0,4.5,2.5,3.3,0.5,8.3-18.0,0.458,1.8-7.0,0.25,7.3-9.5,0.763,19.8
22,J. Teague,4,35.6,17,3.3,6.3,1,0.8,2,3,3.3,0,5.5-11.3,0.489,2.3-4.3,0.529,3.8-4.5,0.833,19.8
