"","X.1","G","Date","X","Opp","W.L","Tm","Opp.1","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","TRB","AST","STL","BLK","TOV","PF","EFF","FG_opp","FGA_opp","FG._opp","X3P_opp","X3PA_opp","X3P._opp","FT_opp","FTA_opp","FT._opp","ORB_opp","TRB_opp","AST_opp","STL_opp","BLK_opp","TOV_opp","PF_opp","EFF_opp"
"1",1,1,"10/26/16","@","LAL","L",114,120,44,86,0.512,7,29,0.241,19,27,0.704,10,39,29,10,1,14,23,12.27,45,89,0.506,12,35,0.343,18,22,0.818,11,39,21,10,4,15,24,11.7333333333333
"2",2,2,"10/28/16","@","DAL","W",106,98,33,70,0.471,15,32,0.469,25,31,0.806,5,41,21,6,1,18,22,12.27,35,80,0.438,8,29,0.276,20,24,0.833,6,34,13,11,2,9,21,13.1125
"3",3,3,"10/30/16","","DAL","W",93,92,34,81,0.42,11,31,0.355,14,21,0.667,9,47,16,5,4,17,21,13.1666666666667,32,86,0.372,11,31,0.355,17,20,0.85,13,43,17,8,3,9,17,12.4444444444444
"4",4,4,"11/1/16","@","CLE","L",120,128,43,90,0.478,17,44,0.386,17,25,0.68,11,32,30,5,2,7,25,13.1666666666667,43,83,0.518,16,32,0.5,26,31,0.839,12,46,22,4,2,11,21,14.2777777777778
"5",5,5,"11/2/16","@","NYK","W",118,99,42,89,0.472,15,40,0.375,19,27,0.704,19,54,25,12,8,19,21,12.3,37,85,0.435,8,20,0.4,17,25,0.68,7,34,18,10,6,16,22,11.2555555555556
"6",6,6,"11/5/16","@","ATL","L",97,112,37,85,0.435,12,36,0.333,11,13,0.846,12,43,22,9,7,26,26,12.99,45,85,0.529,8,20,0.4,14,24,0.583,13,44,29,17,6,19,13,11.4666666666667
"7",7,7,"11/7/16","@","WAS","W",114,106,41,79,0.519,17,37,0.459,15,18,0.833,6,37,28,6,7,18,18,13.1666666666667,39,94,0.415,10,27,0.37,18,20,0.9,16,45,20,12,5,13,16,13.1428571428571
"8",8,8,"11/9/16","@","SAS","W",101,99,37,78,0.474,10,30,0.333,17,22,0.773,8,45,25,7,4,19,24,14.2875,33,84,0.393,7,23,0.304,26,30,0.867,10,39,22,14,5,10,15,12.68
"9",9,9,"11/12/16","","SAS","L",100,106,34,89,0.382,15,47,0.319,17,21,0.81,16,46,22,6,4,14,19,13.1666666666667,41,76,0.539,5,18,0.278,19,24,0.792,2,35,21,6,11,10,19,14.1888888888889
"10",10,10,"11/14/16","","PHI","W",115,88,44,91,0.484,17,40,0.425,10,17,0.588,16,55,20,6,10,17,19,13.1666666666667,34,90,0.378,5,22,0.227,15,17,0.882,10,39,18,10,7,12,17,11.84
