"","X.1","G","Date","X","Opp","W.L","Tm","Opp.1","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","TRB","AST","STL","BLK","TOV","PF","EFF","FG_opp","FGA_opp","FG._opp","X3P_opp","X3PA_opp","X3P._opp","FT_opp","FTA_opp","FT._opp","ORB_opp","TRB_opp","AST_opp","STL_opp","BLK_opp","TOV_opp","PF_opp","EFF_opp"
"1",1,1,"2016-04-17","","MEM","W",106,74,42,81,0.519,10,22,0.455,12,13,0.923,9,44,22,13,9,12,11,11.7636363636364,31,79,0.392,8,18,0.444,4,6,0.667,10,35,17,7,5,16,16,7.54545454545455
"2",2,2,"2016-04-19","","MEM","W",94,68,31,66,0.47,9,17,0.529,23,28,0.821,3,44,19,8,10,17,18,11.7636363636364,28,86,0.326,2,15,0.133,10,18,0.556,16,44,14,14,2,13,24,7.27
"3",3,3,"2016-04-22","@","MEM","W",96,87,35,77,0.455,12,26,0.462,14,19,0.737,7,39,24,10,12,9,20,12.72,34,82,0.415,4,18,0.222,15,19,0.789,15,48,17,4,4,14,17,8.77777777777778
"4",4,4,"2016-04-24","@","MEM","W",116,95,40,81,0.494,10,22,0.455,26,31,0.839,13,41,21,8,6,10,21,11.9,35,78,0.449,5,13,0.385,20,27,0.741,14,37,18,6,5,17,29,8.77777777777778
"5",5,5,"2016-04-30","","OKC","W",124,92,51,84,0.607,9,15,0.6,13,18,0.722,5,43,39,5,10,8,16,11.1416666666667,35,85,0.412,6,23,0.261,16,21,0.762,11,38,23,6,2,10,13,11.1272727272727
"6",6,6,"2016-05-02","","OKC","L",97,98,40,94,0.426,6,23,0.261,11,13,0.846,9,37,19,10,6,10,16,14.5375,38,79,0.481,5,19,0.263,17,21,0.81,9,48,16,8,8,18,19,14.575
"7",7,7,"2016-05-06","@","OKC","W",100,96,33,76,0.434,10,19,0.526,24,34,0.706,4,37,19,8,6,8,19,13.6777777777778,34,82,0.415,10,30,0.333,18,20,0.9,11,42,14,5,5,14,23,16.4142857142857
"8",8,8,"2016-05-08","@","OKC","L",97,111,40,85,0.471,2,12,0.167,15,16,0.938,9,34,12,11,2,12,21,13.6777777777778,40,79,0.506,9,23,0.391,22,29,0.759,10,40,23,6,3,12,18,16.4142857142857
"9",9,9,"2016-05-10","","OKC","L",91,95,35,88,0.398,8,18,0.444,13,17,0.765,10,36,19,11,6,7,19,13.6777777777778,34,78,0.436,7,20,0.35,20,26,0.769,15,54,18,6,6,20,22,14.675
"10",10,10,"2016-05-12","@","OKC","L",99,113,40,93,0.43,6,17,0.353,13,16,0.813,10,40,19,7,3,10,21,14.05,40,85,0.471,6,22,0.273,27,31,0.871,14,50,21,7,7,10,18,14.675
