"","G","Date","X","Opp","W.L","Tm","Opp.1","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","TRB","AST","STL","BLK","TOV","PF","EFF","ELO","FG_opp","FGA_opp","FG._opp","X3P_opp","X3PA_opp","X3P._opp","FT_opp","FTA_opp","FT._opp","ORB_opp","TRB_opp","AST_opp","STL_opp","BLK_opp","TOV_opp","PF_opp","EFF_opp","ELO_opp"
"1",1,"2016-10-26","","DET","W",109,91,41,86,0.477,3,18,0.167,24,29,0.828,14,51,17,8,0,11,22,12.7444444444444,1873.95226185725,35,84,0.417,4,22,0.182,17,22,0.773,8,40,17,8,0,13,24,11.8555555555556,1468.91376788196
"2",2,"2016-10-28","","CLE","L",91,94,35,90,0.389,4,16,0.25,17,18,0.944,18,51,12,9,3,18,20,12.7444444444444,1866.24670081792,33,79,0.418,12,32,0.375,16,22,0.727,9,40,20,8,3,17,15,14.825,2272.65423073597
"3",3,"2016-10-31","","DEN","W",105,102,41,88,0.466,4,16,0.25,19,25,0.76,11,43,16,7,9,7,28,12.7444444444444,1872.94552787094,33,81,0.407,9,22,0.409,27,35,0.771,11,46,14,2,9,8,18,14.5444444444444,1159.59536061779
"4",4,"2016-11-02","@","WAS","W",113,103,43,77,0.558,10,25,0.4,17,25,0.68,4,31,21,16,2,13,24,12.21,1887.14371142356,42,72,0.583,3,10,0.3,16,24,0.667,6,36,21,8,5,20,20,16.08,1409.39660159835
"5",5,"2016-11-04","","MIA","W",96,87,37,84,0.44,6,25,0.24,16,18,0.889,13,50,14,7,5,15,16,12.21,1899.66327805086,34,88,0.386,9,28,0.321,10,15,0.667,12,43,19,10,5,13,22,13.5333333333333,1575.22242534542
"6",6,"2016-11-06","","SAC","L",91,96,30,84,0.357,7,30,0.233,24,31,0.774,13,43,22,6,5,6,26,11.8444444444444,1899.1467972153,34,78,0.436,5,16,0.313,23,31,0.742,13,47,21,4,5,9,22,13.125,1179.45370169483
"7",7,"2016-11-09","@","OKC","W",112,102,43,83,0.518,11,26,0.423,15,22,0.682,7,35,25,10,6,11,24,11.5666666666667,1905.28737746469,31,74,0.419,12,34,0.353,28,31,0.903,11,39,18,6,5,19,21,12.6,2083.03911301406
"8",8,"2016-11-11","@","CHO","W",113,111,43,90,0.478,6,22,0.273,21,22,0.955,8,45,18,8,5,5,21,13.2555555555556,1910.64641688433,38,93,0.409,17,41,0.415,18,24,0.75,18,57,22,1,4,11,16,11.7111111111111,1381.2219903977
"9",9,"2016-11-12","","NYK","W",118,107,39,83,0.47,7,22,0.318,33,38,0.868,11,44,18,10,6,11,20,13.0222222222222,1922.64763708832,44,97,0.454,7,23,0.304,12,16,0.75,17,49,19,3,2,16,23,12.1666666666667,965.450120109545
"10",10,"2016-11-15","@","CLE","L",117,121,46,96,0.479,13,29,0.448,12,18,0.667,12,40,24,11,5,8,25,13.4375,1914.43575979349,44,83,0.53,13,33,0.394,20,28,0.714,10,46,26,4,7,17,18,13.8,2334.54147295002
"11",11,"2016-11-16","","GSW","L",121,127,37,82,0.451,10,25,0.4,37,41,0.902,13,46,16,8,1,14,22,12.67,1905.14680584324,44,87,0.506,13,36,0.361,26,28,0.929,7,35,33,9,7,12,25,15.2666666666667,2735.63407937459
"12",12,"2016-11-18","@","DEN","W",113,111,43,94,0.457,8,23,0.348,19,31,0.613,7,45,23,8,2,12,25,12.21,1911.01235249784,39,83,0.47,4,25,0.16,29,39,0.744,9,58,29,8,3,19,26,14.6,1111.74602945378
"13",13,"2016-11-20","@","SAC","L",99,102,34,85,0.4,9,24,0.375,22,24,0.917,16,48,16,7,6,15,21,13.2555555555556,1910.54560837483,36,81,0.444,11,27,0.407,19,25,0.76,4,37,26,8,8,13,18,13.9125,1166.15911279277
"14",14,"2016-11-21","@","LAC","L",115,123,40,80,0.5,8,19,0.421,27,32,0.844,4,32,19,10,2,11,31,13.0222222222222,1899.00721313869,39,74,0.527,10,25,0.4,35,42,0.833,6,42,23,5,4,14,24,14.2777777777778,2185.97276112832
"15",15,"2016-11-23","@","HOU","W",115,102,43,88,0.489,12,23,0.522,17,21,0.81,15,38,28,14,7,14,15,13.2555555555556,1915.5929628476,38,78,0.487,14,42,0.333,12,12,1,11,39,29,6,7,26,22,14.4,1620.79527311507
"16",16,"2016-11-25","@","MIL","W",105,99,38,82,0.463,14,32,0.438,15,19,0.789,11,38,18,3,5,9,17,13.2555555555556,1924.84552835613,40,79,0.506,12,29,0.414,7,12,0.583,7,38,26,4,2,11,19,13.08,1085.34572337905
"17",17,"2016-11-28","","PHI","W",122,95,42,77,0.545,13,19,0.684,25,31,0.806,8,42,22,11,8,12,14,12.67,1942.89480404933,36,86,0.419,14,34,0.412,9,13,0.692,12,38,27,9,4,14,21,11.1,451.257796220813
