"","G","Date","X","Opp","W.L","Tm","Opp.1","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","TRB","AST","STL","BLK","TOV","PF","FG_opp","FGA_opp","FG._opp","X3P_opp","X3PA_opp","X3P._opp","FT_opp","FTA_opp","FT._opp","ORB_opp","TRB_opp","AST_opp","STL_opp","BLK_opp","TOV_opp","PF_opp"
"1",1,"10/28/15","@","TOR","L",99,106,32,86,0.372,9,23,0.391,26,31,0.839,8,40,23,14,3,13,30,36,80,0.45,7,18,0.389,27,39,0.692,9,50,19,8,2,20,24
"2",2,"10/29/15","","MEM","L",103,112,37,78,0.474,12,30,0.4,17,24,0.708,10,38,23,7,4,20,22,41,82,0.5,7,16,0.438,23,29,0.793,12,42,26,12,5,14,25
"3",3,"10/31/15","","UTA","L",76,97,28,70,0.4,4,17,0.235,16,21,0.762,7,34,10,8,7,24,19,39,88,0.443,6,15,0.4,13,18,0.722,15,47,15,13,4,17,24
"4",4,"11/3/15","@","DET","W",94,82,38,88,0.432,7,23,0.304,11,12,0.917,12,42,21,15,5,15,19,33,86,0.384,5,22,0.227,11,17,0.647,19,50,14,8,5,23,21
"5",5,"11/4/15","","BOS","W",100,98,35,91,0.385,8,23,0.348,22,29,0.759,21,53,18,10,1,14,20,35,83,0.422,10,27,0.37,18,22,0.818,15,49,20,7,5,19,22
"6",6,"11/6/15","","MIA","W",90,87,36,80,0.45,5,15,0.333,13,24,0.542,9,43,21,4,5,12,15,36,81,0.444,6,20,0.3,9,13,0.692,7,40,21,5,6,11,19
"7",7,"11/8/15","@","CLE","L",97,101,39,90,0.433,6,18,0.333,13,19,0.684,12,47,22,5,4,7,20,38,83,0.458,8,24,0.333,17,25,0.68,11,48,25,5,4,10,20
"8",8,"11/9/15","","ORL","W",97,84,34,77,0.442,11,25,0.44,18,22,0.818,6,42,25,12,4,18,16,31,78,0.397,10,33,0.303,12,17,0.706,7,44,16,9,3,21,20
"9",9,"11/11/15","@","BOS","W",102,91,38,79,0.481,6,17,0.353,20,31,0.645,10,41,20,9,6,18,28,32,77,0.416,4,24,0.167,23,32,0.719,8,36,18,10,3,18,26
"10",10,"11/13/15","","MIN","W",107,103,41,86,0.477,10,25,0.4,15,23,0.652,12,40,23,9,5,11,9,42,83,0.506,7,20,0.35,12,13,0.923,8,39,16,5,0,15,19
"11",11,"11/16/15","@","CHI","L",95,96,35,87,0.402,9,21,0.429,16,24,0.667,11,50,19,4,5,12,21,35,86,0.407,6,15,0.4,20,32,0.625,10,48,26,9,9,8,20
"12",12,"11/18/15","@","PHI","W",112,85,42,92,0.457,12,27,0.444,16,20,0.8,16,48,28,18,8,18,17,35,76,0.461,5,25,0.2,10,16,0.625,7,43,14,9,8,29,17
"13",13,"11/21/15","","MIL","W",123,86,47,91,0.516,15,30,0.5,14,23,0.609,11,42,28,15,5,14,13,34,79,0.43,5,17,0.294,13,19,0.684,13,43,19,9,5,23,19
"14",14,"11/24/15","@","WAS","W",123,106,44,80,0.55,19,26,0.731,16,23,0.696,7,41,25,11,0,20,18,38,83,0.458,13,33,0.394,17,24,0.708,10,40,27,9,1,21,18
"15",15,"11/27/15","","CHI","W",104,92,37,87,0.425,8,28,0.286,22,29,0.759,8,51,18,8,4,13,18,32,92,0.348,11,26,0.423,17,20,0.85,9,47,21,7,7,15,23
