"","G","Date","X","Opp","W.L","Tm","Opp.1","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","TRB","AST","STL","BLK","TOV","PF","FG_opp","FGA_opp","FG._opp","X3P_opp","X3PA_opp","X3P._opp","FT_opp","FTA_opp","FT._opp","ORB_opp","TRB_opp","AST_opp","STL_opp","BLK_opp","TOV_opp","PF_opp"
"1",1,"10/28/15","","IND","W",106,99,36,80,0.45,7,18,0.389,27,39,0.692,9,50,19,8,2,20,24,32,86,0.372,9,23,0.391,26,31,0.839,8,40,23,14,3,13,30
"2",2,"10/30/15","@","BOS","W",113,103,36,82,0.439,11,26,0.423,30,35,0.857,9,53,23,11,3,21,33,32,85,0.376,7,26,0.269,32,41,0.78,7,38,23,14,3,17,28
"3",3,"11/1/15","","MIL","W",106,87,41,90,0.456,11,25,0.44,13,20,0.65,18,46,22,12,3,13,19,29,69,0.42,5,19,0.263,24,24,1,7,33,21,6,8,18,21
"4",4,"11/3/15","@","DAL","W",102,91,37,82,0.451,5,17,0.294,23,26,0.885,10,47,18,8,6,16,26,33,86,0.384,7,23,0.304,18,25,0.72,14,44,20,5,3,15,25
"5",5,"11/4/15","@","OKC","W",103,98,33,79,0.418,5,14,0.357,32,39,0.821,12,45,12,14,3,14,16,39,82,0.476,8,23,0.348,12,14,0.857,11,41,26,8,10,19,29
"6",6,"11/6/15","@","ORL","L",87,92,30,86,0.349,5,23,0.217,22,29,0.759,15,44,13,5,5,9,18,33,77,0.429,9,25,0.36,17,22,0.773,6,40,22,4,4,12,25
"7",7,"11/8/15","@","MIA","L",76,96,28,71,0.394,3,19,0.158,17,22,0.773,7,38,17,8,5,16,21,35,83,0.422,8,20,0.4,18,25,0.72,13,48,18,8,8,10,20
"8",8,"11/10/15","","NYK","L",109,111,37,84,0.44,4,17,0.235,31,39,0.795,14,49,25,7,6,11,17,42,95,0.442,11,23,0.478,16,18,0.889,13,44,22,8,7,9,27
"9",9,"11/11/15","@","PHI","W",119,103,43,89,0.483,5,18,0.278,28,31,0.903,17,56,22,7,7,8,18,40,87,0.46,12,29,0.414,11,17,0.647,11,37,28,2,7,11,24
"10",10,"11/13/15","","NOP","W",100,81,34,77,0.442,9,21,0.429,23,27,0.852,13,48,19,8,5,15,19,30,82,0.366,7,23,0.304,14,20,0.7,10,38,15,10,4,14,22
"11",11,"11/15/15","@","SAC","L",101,107,38,87,0.437,15,31,0.484,10,14,0.714,7,36,18,13,1,15,20,39,76,0.513,10,25,0.4,19,24,0.792,9,42,23,8,5,19,19
"12",12,"11/17/15","@","GSW","L",110,115,37,79,0.468,6,18,0.333,30,39,0.769,12,40,18,11,2,18,25,43,80,0.538,11,29,0.379,18,27,0.667,9,34,31,10,6,20,29
"13",13,"11/18/15","@","UTA","L",89,93,34,80,0.425,5,20,0.25,16,18,0.889,9,37,14,10,4,14,17,35,72,0.486,7,22,0.318,16,22,0.727,7,41,15,9,5,17,20
"14",14,"11/20/15","@","LAL","W",102,91,34,78,0.436,15,33,0.455,19,24,0.792,12,41,21,7,3,12,15,35,77,0.455,8,25,0.32,13,17,0.765,9,41,21,8,4,15,18
"15",15,"11/22/15","@","LAC","W",91,80,29,78,0.372,4,17,0.235,29,31,0.935,14,46,15,8,0,14,19,29,74,0.392,7,32,0.219,15,20,0.75,12,42,21,9,9,19,30
"16",16,"11/25/15","","CLE","W",103,99,40,79,0.506,11,25,0.44,12,22,0.545,6,40,14,8,5,9,15,36,82,0.439,14,29,0.483,13,16,0.813,9,42,22,4,2,10,20
"17",17,"11/28/15","@","WAS","W",84,82,31,72,0.431,11,24,0.458,11,14,0.786,6,48,17,8,7,22,21,27,82,0.329,7,23,0.304,21,27,0.778,10,42,20,11,3,14,16
"18",18,"11/29/15","","PHO","L",102,107,38,86,0.442,12,29,0.414,14,17,0.824,8,43,19,6,7,11,17,40,94,0.426,11,27,0.407,16,20,0.8,13,50,24,4,9,9,15
"19",19,"12/2/15","@","ATL","W",96,86,36,79,0.456,6,25,0.24,18,24,0.75,8,50,12,10,5,12,18,33,90,0.367,8,27,0.296,12,16,0.75,13,43,22,8,7,12,20
"20",20,"12/3/15","","DEN","L",105,106,39,92,0.424,8,27,0.296,19,22,0.864,9,39,21,9,3,4,16,38,81,0.469,12,27,0.444,18,18,1,6,42,30,2,4,11,19
"21",21,"12/5/15","","GSW","L",109,112,40,91,0.44,8,20,0.4,21,26,0.808,11,38,21,9,3,6,27,35,73,0.479,16,30,0.533,26,36,0.722,8,43,22,2,5,12,24
"22",22,"12/7/15","","LAL","W",102,93,34,74,0.459,9,25,0.36,25,32,0.781,8,38,18,7,2,7,13,34,83,0.41,7,19,0.368,18,20,0.9,14,47,14,4,4,15,23
"23",23,"12/9/15","","SAS","W",97,94,37,64,0.578,3,10,0.3,20,22,0.909,4,34,23,10,2,20,24,34,76,0.447,7,25,0.28,19,24,0.792,13,35,23,10,2,17,19
"24",24,"12/11/15","","MIL","W",90,83,34,70,0.486,7,20,0.35,15,23,0.652,7,39,16,9,8,16,23,33,80,0.413,4,11,0.364,13,16,0.813,10,40,19,9,4,15,19
"25",25,"12/13/15","","PHI","W",96,76,32,78,0.41,7,22,0.318,25,34,0.735,8,41,14,11,9,8,15,28,84,0.333,10,28,0.357,10,14,0.714,15,52,18,1,9,22,20
