"","G","Date","X","Opp","W.L","Tm","Opp.1","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","TRB","AST","STL","BLK","TOV","PF","FG_opp","FGA_opp","FG._opp","X3P_opp","X3PA_opp","X3P._opp","FT_opp","FTA_opp","FT._opp","ORB_opp","TRB_opp","AST_opp","STL_opp","BLK_opp","TOV_opp","PF_opp"
"1",1,"10/25/16","@","POR","L",104,113,40,82,0.488,8,24,0.333,16,16,1,6,31,19,9,5,11,19,39,75,0.52,13,19,0.684,22,22,1,5,34,22,5,3,12,18
"2",2,"10/28/16","","LAL","W",96,89,31,75,0.413,6,25,0.24,28,40,0.7,13,47,14,4,7,14,18,32,84,0.381,9,23,0.391,16,21,0.762,11,43,16,6,7,14,29
"3",3,"10/30/16","@","LAC","L",75,88,29,73,0.397,7,19,0.368,10,13,0.769,7,43,18,8,2,18,22,34,83,0.41,6,27,0.222,14,20,0.7,14,49,17,8,4,13,14
"4",4,"11/1/16","@","SAS","W",106,91,38,76,0.5,15,31,0.484,15,18,0.833,2,39,22,5,8,10,20,33,76,0.434,6,20,0.3,19,21,0.905,4,34,19,6,5,9,15
"5",5,"11/2/16","","DAL","W",97,81,35,77,0.455,12,25,0.48,15,26,0.577,7,41,18,6,3,12,21,33,77,0.429,7,26,0.269,8,10,0.8,6,36,18,4,4,12,20
"6",6,"11/4/16","","SAS","L",86,100,30,80,0.375,11,26,0.423,15,24,0.625,9,42,15,7,4,12,19,37,83,0.446,6,20,0.3,20,22,0.909,9,49,17,9,8,11,25
"7",7,"11/6/16","@","NYK","W",114,109,38,75,0.507,8,25,0.32,30,35,0.857,7,34,21,6,4,10,19,42,83,0.506,8,20,0.4,17,19,0.895,10,39,18,8,5,12,26
"8",8,"11/7/16","@","PHI","W",109,84,43,85,0.506,11,19,0.579,12,20,0.6,10,45,20,10,11,10,22,31,77,0.403,7,21,0.333,15,22,0.682,9,42,16,5,2,18,19
"9",9,"11/9/16","@","CHO","L",98,104,38,82,0.463,8,34,0.235,14,18,0.778,10,46,24,5,6,12,22,38,82,0.463,8,26,0.308,20,29,0.69,5,37,24,8,3,8,19
"10",10,"11/11/16","@","ORL","W",87,74,33,81,0.407,7,28,0.25,14,16,0.875,12,52,19,9,7,15,18,26,78,0.333,8,20,0.4,14,19,0.737,8,43,13,11,6,12,18
"11",11,"11/12/16","@","MIA","W",102,91,40,81,0.494,6,20,0.3,16,19,0.842,6,45,12,5,4,9,19,38,81,0.469,5,17,0.294,10,19,0.526,4,39,21,5,4,8,17
"12",12,"11/14/16","","MEM","L",96,102,35,73,0.479,8,28,0.286,18,22,0.818,6,29,17,8,1,8,27,36,76,0.474,8,21,0.381,22,26,0.846,14,44,13,4,2,16,26
"13",13,"11/17/16","","CHI","L",77,85,30,78,0.385,5,25,0.2,12,14,0.857,10,48,11,4,3,13,14,33,90,0.367,5,17,0.294,14,16,0.875,14,46,8,7,6,8,16
"14",14,"11/19/16","@","HOU","L",102,111,39,76,0.513,12,27,0.444,12,17,0.706,5,43,22,3,5,12,17,42,94,0.447,12,32,0.375,15,20,0.75,10,39,28,8,3,4,16
"15",15,"11/20/16","@","DEN","L",91,105,33,85,0.388,7,26,0.269,18,23,0.783,14,49,15,3,6,10,22,42,86,0.488,8,22,0.364,13,30,0.433,12,49,31,4,2,8,19
"16",16,"11/23/16","","DEN","W",108,83,39,79,0.494,8,26,0.308,22,31,0.71,4,51,19,4,3,14,25,28,88,0.318,9,27,0.333,18,31,0.581,14,49,14,5,5,10,22
