"","G","Date","X","Opp","W.L","Tm","Opp.1","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","TRB","AST","STL","BLK","TOV","PF","EFF","ELO","FG_opp","FGA_opp","FG._opp","X3P_opp","X3PA_opp","X3P._opp","FT_opp","FTA_opp","FT._opp","ORB_opp","TRB_opp","AST_opp","STL_opp","BLK_opp","TOV_opp","PF_opp","EFF_opp","ELO_opp"
"1",1,"2015-10-28","@","SAC","W",111,104,42,80,0.525,6,19,0.316,21,31,0.677,6,42,20,8,9,15,19,13.45,1552.47635835371,41,94,0.436,11,24,0.458,11,18,0.611,12,49,24,8,3,16,27,13.3111111111111,1428.88665561369
"2",2,"2015-10-29","","DAL","W",104,88,38,87,0.437,8,31,0.258,20,33,0.606,8,53,21,6,8,8,17,13.45,1567.09556113977,35,97,0.361,6,30,0.2,12,15,0.8,14,55,22,4,2,12,26,8.71,1544.09450123548
"3",3,"2015-10-31","","SAC","W",114,109,39,76,0.513,4,17,0.235,32,46,0.696,6,41,25,4,9,17,22,13.45,1572.34276046052,43,101,0.426,6,18,0.333,17,25,0.68,19,49,20,9,2,13,34,13.08,1436.77087227417
"4",4,"2015-11-02","","PHO","W",102,96,37,81,0.457,8,26,0.308,20,23,0.87,3,46,20,4,5,11,18,13.45,1577.34203612762,36,98,0.367,9,30,0.3,15,21,0.714,16,55,23,8,1,9,20,12.625,1473.40608791453
"5",5,"2015-11-04","@","GSW","L",108,112,43,88,0.489,8,22,0.364,14,22,0.636,10,41,24,6,4,11,26,13.45,1601.94330702208,39,85,0.459,10,26,0.385,24,31,0.774,9,42,28,6,5,12,22,14.4111111111111,1845.68245465785
"6",6,"2015-11-07","","HOU","L",105,109,42,88,0.477,4,22,0.182,17,25,0.68,11,41,29,8,5,12,23,11.9,1625.94642434529,38,86,0.442,7,30,0.233,26,29,0.897,11,47,16,7,3,14,27,12.55,1604.39553947328
"7",7,"2015-11-09","","MEM","W",94,92,28,68,0.412,5,19,0.263,33,37,0.892,8,40,14,5,8,18,20,14.0888888888889,1621.87754982524,35,80,0.438,2,11,0.182,20,29,0.69,10,40,21,11,3,14,28,12.4333333333333,1525.8965947137
"8",8,"2015-11-11","@","DAL","L",108,118,37,86,0.43,12,27,0.444,22,33,0.667,13,41,21,4,2,10,24,13.45,1632.6961677814,42,76,0.553,11,24,0.458,23,30,0.767,8,44,23,8,3,13,29,10.49,1540.41775090032
"9",9,"2015-11-12","@","PHO","L",104,118,40,90,0.444,9,26,0.346,15,28,0.536,12,37,17,13,3,14,17,11.3333333333333,1632.6961677814,44,83,0.53,14,30,0.467,16,21,0.762,9,46,22,10,3,19,23,13.1875,1470.91272545351
"10",10,"2015-11-14","","DET","W",101,96,37,79,0.468,7,19,0.368,20,26,0.769,11,42,23,6,4,13,23,11.6375,1622.15966068217,33,74,0.446,7,27,0.259,23,35,0.657,11,42,15,8,2,15,23,11.6444444444444,1471.63624028006
"11",11,"2015-11-19","","GSW","L",117,124,44,88,0.5,13,29,0.448,16,24,0.667,9,35,21,11,2,10,25,14.1,1625.61990193231,38,73,0.521,17,30,0.567,31,36,0.861,8,44,31,4,4,19,20,16.0125,1960.59398661205
"12",12,"2015-11-20","@","POR","L",91,102,38,86,0.442,7,24,0.292,8,16,0.5,10,42,24,6,5,13,24,14.2888888888889,1625.61990193231,38,90,0.422,8,25,0.32,18,24,0.75,17,55,16,8,3,14,17,12.8125,1511.04063177546
"13",13,"2015-11-22","","TOR","L",80,91,29,74,0.392,7,32,0.219,15,20,0.75,12,42,21,9,9,19,30,13.9555555555556,1612.33759144997,29,78,0.372,4,17,0.235,29,31,0.935,14,46,15,8,0,14,19,12.625,1573.20980912693
"14",14,"2015-11-24","@","DEN","W",111,94,37,79,0.468,8,20,0.4,29,47,0.617,11,43,24,10,8,7,25,13.45,1630.74339547449,31,78,0.397,8,25,0.32,24,29,0.828,8,48,16,3,0,16,32,10.46,1352.10046638193
"15",15,"2015-11-25","","UTA","L",91,102,38,75,0.507,4,12,0.333,11,17,0.647,11,35,18,11,7,19,22,14.2888888888889,1628.48902101645,39,77,0.506,6,13,0.462,18,25,0.72,11,39,19,12,4,16,20,13.4428571428571,1567.16206322519
"16",16,"2015-11-27","","NOP","W",111,90,40,83,0.482,7,19,0.368,24,30,0.8,5,49,27,6,7,13,20,13.45,1643.96627950301,34,94,0.362,5,20,0.25,17,23,0.739,15,50,20,8,1,12,23,11.9444444444444,1390.95358458491
"17",17,"2015-11-29","","MIN","W",107,99,39,75,0.52,8,22,0.364,21,33,0.636,7,39,24,3,5,13,21,15.1125,1623.75531399856,37,82,0.451,8,16,0.5,17,21,0.81,7,39,21,7,3,13,27,10.74,1271.40738175972
"18",18,"2015-11-30","","POR","W",102,87,33,85,0.388,8,19,0.421,28,56,0.5,18,55,26,7,5,10,22,14.0888888888889,1631.07184782414,33,87,0.379,5,23,0.217,16,27,0.593,13,54,18,6,2,18,38,12.03,1521.99182811886
"19",19,"2015-12-02","","IND","L",91,103,30,79,0.38,6,27,0.222,25,39,0.641,10,40,19,4,2,15,31,11.7875,1621.88614141643,32,76,0.421,7,20,0.35,32,39,0.821,9,47,16,7,6,14,26,12.85,1610.88072121747
"20",20,"2015-12-05","","ORL","W",103,101,37,82,0.451,12,31,0.387,17,25,0.68,10,45,25,5,2,14,15,12.0125,1637.66820470881,40,90,0.444,6,20,0.3,15,18,0.833,15,51,22,8,6,13,21,12.43,1361.32746709587
"21",21,"2015-12-07","@","MIN","W",110,106,38,86,0.442,8,25,0.32,26,29,0.897,13,43,21,10,9,17,26,14.2888888888889,1637.66820470881,36,82,0.439,7,18,0.389,27,35,0.771,11,46,18,10,3,18,29,11.94,1245.81256735213
"22",22,"2015-12-09","@","MIL","W",109,95,38,81,0.469,12,28,0.429,21,36,0.583,12,51,27,7,8,14,16,14.9625,1643.73789246413,42,90,0.467,2,10,0.2,9,12,0.75,7,40,26,7,1,11,29,13.3875,1325.20255929311
"23",23,"2015-12-10","@","CHI","L",80,83,30,88,0.341,10,22,0.455,10,12,0.833,15,52,22,4,4,13,15,14.2888888888889,1630.80887317328,31,87,0.356,7,23,0.304,14,16,0.875,13,54,20,8,6,11,12,12.17,1671.37948889298
"24",24,"2015-12-12","@","BRK","W",105,100,43,86,0.5,8,24,0.333,11,18,0.611,7,40,28,12,0,12,21,13.45,1604.37540633179,35,79,0.443,5,19,0.263,25,30,0.833,12,46,17,5,2,16,22,12.6714285714286,1310.26584826087
"25",25,"2015-12-14","@","DET","W",105,103,44,97,0.454,6,19,0.316,11,15,0.733,10,39,29,9,4,10,22,14.3625,1595.053148404,37,89,0.416,6,19,0.316,23,31,0.742,15,54,17,8,0,18,21,11.6444444444444,1504.30275068996
"26",26,"2015-12-16","","MIL","W",103,90,36,75,0.48,11,21,0.524,20,24,0.833,10,40,25,7,4,14,10,13.45,1615.78424966889,38,88,0.432,5,16,0.313,9,11,0.818,15,41,21,9,6,11,21,12.975,1291.71573627985
"27",27,"2015-12-18","@","SAS","L",107,115,36,72,0.5,10,24,0.417,25,40,0.625,6,37,23,6,8,10,22,14.2888888888889,1624.87314871396,43,87,0.494,10,19,0.526,19,24,0.792,10,44,25,7,4,8,30,14.9333333333333,2073.23748686313
"28",28,"2015-12-19","@","HOU","L",97,107,34,86,0.395,11,38,0.289,18,29,0.621,7,38,21,10,6,12,36,14.5125,1624.87314871396,34,76,0.447,8,25,0.32,31,49,0.633,13,55,22,7,7,15,29,12.08,1642.31232042657
