No,Player,EFF
1,S. Curry,29.2
2,K. Durant,28.6
3,R. Westbrook,28.5
4,L. James,28.5
5,J. Harden,27.6
6,D. Cousins,26.6
7,A. Davis,26.6
8,C. Paul,24.8
9,D. Green,24.1
10,K. Leonard,24
11,K. Towns,23.8
12,P. Gasol,23.7
13,H. Whiteside,23.4
14,D. Jordan,22.8
15,B. Griffin,22.7
16,J. Wall,22.5
17,P. George,22.3
18,P. Millsap,22.2
19,J. Butler,21.7
20,D. Lillard,21.7
21,B. Lopez,21.6
22,A. Drummond,21.5
23,C. Anthony,21.4
24,N. Vucevic,21.3
25,G. Antetokounmpo,21.2
26,R. Rondo,21.1
27,L. Aldridge,21.1
28,K. Lowry,20.9
29,D. Howard,20.4
30,A. Horford,19.9
31,C. Bosh,19.9
32,G. Monroe,19.8
33,E. Bledsoe,19.8
34,K. Walker,19.8
35,M. Gortat,19.8
36,D. Favors,19.5
37,I. Thomas,19.3
38,M. Gasol,19.2
39,K. Love,19.1
40,T. Young,19
41,J. Valanciunas,18.7
42,D. DeRozan,18.7
43,K. Thompson,18.3
44,D. Nowitzki,18.2
45,K. Irving,18.2
46,D. Gallinari,18.2
47,R. Gobert,18
48,G. Hayward,17.8
49,T. Evans,17.7
50,D. Wade,17.3
51,K. Middleton,17.3
52,R. Rubio,17.3
53,N. Batum,17.3
54,R. Gay,17.1
55,T. Harris,17
56,C. McCollum,16.9
57,R. Jackson,16.9
58,K. Faried,16.9
59,V. Oladipo,16.9
60,J. Okafor,16.6
61,M. Conley,16.5
62,Z. Randolph,16.5
63,N. Noel,16.4
64,J. Holiday,16.3
65,B. Knight,16.1
66,K. Porzingis,16.1
67,J. Randle,15.7
68,G. Dieng,15.7
69,J. Jack,15.6
70,N. Jokic,15.5
71,E. Kanter,15.5
72,G. Dragic,15.4
73,M. Plumlee,15.4
74,R. Anderson,15.3
75,A. Wiggins,15.3
76,S. Ibaka,15.2
77,J. Teague,15.1
78,R. Lopez,15
79,J. Crowder,15
80,W. Barton,14.9
81,M. Kidd-Gilchrist,14.9
82,Z. Pachulia,14.9
83,M. Carter-Williams,14.6
84,C. Parsons,14.6
85,L. Deng,14.5
86,M. Williams,14.5
87,T. Thompson,14.4
88,A. Jefferson,14.3
89,B. Beal,14.2
90,I. Smith,14.2
91,D. Collison,14.1
92,J. Sullinger,14.1
93,J. Parker,14.1
94,I. Mahinmi,14.1
95,T. Duncan,14
96,M. Ellis,13.9
97,D. Williams,13.8
98,O. Porter,13.8
99,T. Chandler,13.7
100,T. Gibson,13.7
101,S. Adams,13.6
102,M. Morris,13.6
103,E. Fournier,13.6
104,G. Hill,13.6
105,E. Turner,13.6
106,R. Covington,13.4
107,O. Casspi,13.3
108,A. Gordon,13.2
109,T. Ariza,13.2
110,K. Bazemore,13.1
111,A. Bogut,13.1
112,A. Johnson,13.1
113,D. Rose,13.1
114,E. Payton,13
115,J. Noah,13
116,A. Aminu,13
117,J. Clarkson,13
118,C. Zeller,12.9
119,T. Parker,12.9
120,L. Williams,12.8
121,E. Davis,12.8
122,A. Bradley,12.8
123,N. Mirotic,12.8
124,R. Hood,12.7
125,K. Caldwell-Pope,12.7
126,B. Biyombo,12.5
127,J. Redick,12.4
128,E. Gordon,12.4
129,M. Turner,12.4
130,J. Johnson,12.3
131,Z. LaVine,12.1
132,J. Hamilton,12
133,M. Beasley,12
134,P. Tucker,11.9
135,A. Len,11.9
136,H. Barnes,11.8
137,M. Barnes,11.8
138,M. Morris,11.7
139,P. Beverley,11.7
140,G. Harris,11.7
141,K. Bryant,11.7
142,A. Iguodala,11.7
143,M. Chalmers,11.5
144,A. Afflalo,11.4
145,D. Lee,11.2
146,E. Ilyasova,11.2
147,J. Hill,11.1
148,N. Hilario,11.1
149,D. Russell,11.1
150,J. Lin,11.1
151,J. Grant,11.1
152,J. Calderon,11.1
153,C. Capela,11
154,J. Green,11
155,J. Leuer,11
156,W. Cauley-Stein,11
157,C. Landry,10.9
158,J. Smith,10.9
159,M. Smart,10.8
160,J. Bayless,10.8
161,B. Bass,10.8
162,W. Matthews,10.7
163,R. Felton,10.7
164,M. Teletovic,10.7
165,D. Booker,10.5
166,E. Mudiay,10.5
167,K. Korver,10.4
168,T. Warren,10.4
169,A. Burks,10.4
