"","X.1","G","Date","X","Opp","W.L","Tm","Opp.1","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","TRB","AST","STL","BLK","TOV","PF","EFF","FG_opp","FGA_opp","FG._opp","X3P_opp","X3PA_opp","X3P._opp","FT_opp","FTA_opp","FT._opp","ORB_opp","TRB_opp","AST_opp","STL_opp","BLK_opp","TOV_opp","PF_opp","EFF_opp"
"1",1,1,"10/28/15","","DEN","L",85,105,30,87,0.345,8,35,0.229,17,26,0.654,15,44,17,13,8,16,19,10.8444444444444,40,79,0.506,13,27,0.481,12,18,0.667,9,49,26,9,10,21,26,11.8777777777778
"2",2,2,"10/30/15","","GSW","L",92,112,30,82,0.366,5,23,0.217,27,36,0.75,12,49,19,3,9,16,20,12.5333333333333,43,93,0.462,9,26,0.346,17,25,0.68,11,47,26,9,4,8,24,14.4111111111111
"3",3,3,"11/1/15","@","MIA","L",89,109,32,79,0.405,10,36,0.278,15,18,0.833,3,34,20,9,3,17,23,11.3875,42,86,0.488,9,22,0.409,16,21,0.762,11,48,24,11,5,12,16,14.1666666666667
"4",4,4,"11/2/15","","OKC","W",110,105,41,89,0.461,9,29,0.31,19,29,0.655,7,34,22,18,7,12,22,13.4,40,84,0.476,10,23,0.435,15,22,0.682,14,55,17,7,9,24,24,14.4222222222222
"5",5,5,"11/4/15","","ORL","W",119,114,42,88,0.477,11,34,0.324,24,34,0.706,16,48,28,8,1,19,20,13.4,46,91,0.505,7,20,0.35,15,19,0.789,9,38,28,12,6,14,25,12.7333333333333
"6",6,6,"11/6/15","@","SAC","W",116,110,40,82,0.488,15,36,0.417,21,27,0.778,14,49,23,8,4,21,26,10.6125,40,93,0.43,9,28,0.321,21,29,0.724,14,43,26,14,3,15,19,13.6
"7",7,7,"11/7/15","@","LAC","W",109,105,38,86,0.442,7,30,0.233,26,29,0.897,11,47,16,7,3,14,27,12.55,42,88,0.477,4,22,0.182,17,25,0.68,11,41,29,8,5,12,23,11.9
"8",8,8,"11/11/15","","BRK","L",98,106,42,98,0.429,8,34,0.235,6,12,0.5,13,45,25,9,9,7,14,13.0375,42,98,0.429,8,17,0.471,14,17,0.824,20,60,25,5,11,11,13,11.65
"9",9,9,"11/13/15","@","DEN","L",98,107,33,77,0.429,9,29,0.31,23,31,0.742,8,40,19,10,8,20,25,11.4,37,81,0.457,9,20,0.45,24,32,0.75,12,46,25,10,4,18,23,11.5
"10",10,10,"11/14/15","","DAL","L",98,110,32,84,0.381,9,34,0.265,25,32,0.781,12,43,22,9,5,12,23,10.3888888888889,43,89,0.483,8,28,0.286,16,21,0.762,8,45,24,6,7,11,21,8.31
