"","G","Date","X","Opp","W.L","Tm","Opp.1","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","TRB","AST","STL","BLK","TOV","PF","EFF","ELO","FG_opp","FGA_opp","FG._opp","X3P_opp","X3PA_opp","X3P._opp","FT_opp","FTA_opp","FT._opp","ORB_opp","TRB_opp","AST_opp","STL_opp","BLK_opp","TOV_opp","PF_opp","EFF_opp","ELO_opp"
"1",1,"2016-10-26","","CHO","L",96,107,39,92,0.424,3,16,0.188,15,20,0.75,10,46,23,4,5,8,22,12.8444444444444,1129.76884404007,40,89,0.449,7,23,0.304,20,24,0.833,11,51,27,5,10,10,22,12.6888888888889,1354.1271482869
"2",2,"2016-10-29","","BRK","W",110,108,41,88,0.466,8,22,0.364,20,24,0.833,8,44,25,14,5,14,23,12.5111111111111,1135.66497501337,37,84,0.44,11,34,0.324,23,28,0.821,11,45,23,12,6,18,22,10.5222222222222,929.448251299733
"3",3,"2016-10-30","@","DET","L",83,98,34,87,0.391,4,17,0.235,11,14,0.786,10,40,22,10,4,12,16,12.6454545454545,1118.18399014752,39,88,0.443,5,20,0.25,15,20,0.75,16,58,23,8,4,15,14,11.8555555555556,1511.71858034017
"4",4,"2016-11-01","@","NOP","W",117,113,44,91,0.484,10,32,0.313,19,21,0.905,11,49,30,9,5,15,25,12.6454545454545,1123.13850948463,36,82,0.439,9,26,0.346,32,41,0.78,9,42,23,13,5,13,17,11.6,1212.80544350167
"5",5,"2016-11-03","","IND","W",125,107,47,82,0.573,12,27,0.444,19,24,0.792,12,41,32,10,6,21,23,13.08,1126.26102723098,38,81,0.469,10,23,0.435,21,27,0.778,10,32,29,14,4,21,23,12.6666666666667,1619.70736894588
"6",6,"2016-11-05","","SAC","W",117,91,41,82,0.5,14,33,0.424,21,25,0.84,17,53,28,12,10,15,22,12.6454545454545,1144.50332344555,33,84,0.393,10,28,0.357,15,19,0.789,13,36,27,8,3,14,19,10.8727272727273,1178.93722085928
"7",7,"2016-11-06","@","DAL","L",75,86,30,82,0.366,6,29,0.207,9,12,0.75,9,51,14,11,2,27,26,13.08,1130.34686204469,33,88,0.375,9,38,0.237,11,12,0.917,10,46,14,12,2,15,20,11.7444444444444,1456.41530674109
"8",8,"2016-11-10","","NOP","L",106,112,40,91,0.44,6,18,0.333,20,25,0.8,11,48,23,4,5,11,20,12.6454545454545,1121.82740978286,39,89,0.438,9,25,0.36,25,27,0.926,11,47,22,9,7,10,19,11.5111111111111,1190.35516889684
"9",9,"2016-11-12","","MEM","W",106,96,36,68,0.529,7,18,0.389,27,36,0.75,5,35,20,9,5,12,20,13.2666666666667,1125.6385791285,35,78,0.449,6,30,0.2,20,21,0.952,3,32,20,8,4,13,26,10.97,1468.32910295957
"10",10,"2016-11-16","@","ATL","L",100,107,39,98,0.398,8,32,0.25,14,18,0.778,15,47,25,9,2,14,25,12.1375,1116.10627791177,35,72,0.486,10,32,0.313,27,31,0.871,3,39,29,6,8,16,17,9.675,1974.05537908718
"11",11,"2016-11-17","@","MIA","L",73,96,28,85,0.329,7,23,0.304,10,13,0.769,12,48,20,4,8,13,20,12.59,1092.65994576728,39,97,0.402,7,30,0.233,11,21,0.524,17,59,19,5,8,7,18,13.9777777777778,1552.36378772537
"12",12,"2016-11-19","","GSW","L",121,124,46,89,0.517,10,20,0.5,19,25,0.76,10,41,27,7,1,13,23,12.59,1087.8555161245,42,95,0.442,14,38,0.368,26,32,0.813,18,45,30,8,5,12,25,15.2666666666667,2756.35214496915
"13",13,"2016-11-21","","ORL","W",93,89,35,86,0.407,8,29,0.276,15,21,0.714,7,37,25,16,9,13,22,12.1444444444444,1094.59828888758,32,77,0.416,7,25,0.28,18,24,0.75,10,54,21,8,5,24,18,13.875,1090.56407521434
"14",14,"2016-11-25","","TOR","L",99,105,40,79,0.506,12,29,0.414,7,12,0.583,7,38,26,4,2,11,19,13.08,1085.34572337905,38,82,0.463,14,32,0.438,15,19,0.789,11,38,18,3,5,9,17,13.2555555555556,1924.84552835613
"15",15,"2016-11-27","@","ORL","W",104,96,41,86,0.477,8,24,0.333,14,20,0.7,10,53,24,6,6,11,16,12.48,1094.56167749194,38,92,0.413,7,28,0.25,13,17,0.765,10,46,24,6,5,7,17,12.875,1068.84436768015
"16",16,"2016-11-29","","CLE","W",118,101,46,86,0.535,7,19,0.368,19,23,0.826,10,43,27,15,6,17,22,13.2666666666667,1094.43379988293,32,75,0.427,14,39,0.359,23,31,0.742,7,35,17,7,6,19,19,11.7545454545455,2400.41477347908
"17",17,"2016-12-01","@","BRK","W",111,93,36,80,0.45,15,34,0.441,24,29,0.828,14,48,23,8,10,18,18,12.48,1115.3529100522,34,89,0.382,12,40,0.3,13,16,0.813,12,40,20,9,9,17,22,10.8888888888889,758.145519843616
"18",18,"2016-12-03","","BRK","W",112,103,40,85,0.471,6,24,0.25,26,36,0.722,7,46,25,9,10,11,24,12.48,1127.9902095219,34,91,0.374,11,41,0.268,24,33,0.727,10,46,21,6,5,14,26,9.57,745.508220373915
