"","G","Date","X","Opp","W.L","Tm","Opp.1","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","TRB","AST","STL","BLK","TOV","PF","EFF","ELO","FG_opp","FGA_opp","FG._opp","X3P_opp","X3PA_opp","X3P._opp","FT_opp","FTA_opp","FT._opp","ORB_opp","TRB_opp","AST_opp","STL_opp","BLK_opp","TOV_opp","PF_opp","EFF_opp","ELO_opp"
"1",1,"2015-10-28","","IND","W",106,99,36,80,0.45,7,18,0.389,27,39,0.692,9,50,19,8,2,20,24,13.825,1510.62787625621,32,86,0.372,9,23,0.391,26,31,0.839,8,40,23,14,3,13,30,11.9777777777778,1495.82102374379
"2",2,"2015-10-30","@","BOS","W",113,103,36,82,0.439,11,26,0.423,30,35,0.857,9,53,23,11,3,21,33,13.2444444444444,1520.41614270866,32,85,0.376,7,26,0.269,32,41,0.78,7,38,23,14,3,17,28,12.84,1527.64911064424
"3",3,"2015-11-01","","MIL","W",106,87,41,90,0.456,11,25,0.44,13,20,0.65,18,46,22,12,3,13,19,13.2444444444444,1537.44620414315,29,69,0.42,5,19,0.263,24,24,1,7,33,21,6,8,18,21,12.2222222222222,1420.07694169016
"4",4,"2015-11-03","@","DAL","W",102,91,37,82,0.451,5,17,0.294,23,26,0.885,10,47,18,8,6,16,26,13.2444444444444,1547.98223819207,33,86,0.384,7,23,0.304,18,25,0.72,14,44,20,5,3,15,25,12.1888888888889,1547.37403215125
"5",5,"2015-11-04","@","OKC","W",103,98,33,79,0.418,5,14,0.357,32,39,0.821,12,45,12,14,3,14,16,13.2444444444444,1554.35924677068,39,82,0.476,8,23,0.348,12,14,0.857,11,41,26,8,10,19,29,14.5,1585.49353792886
"6",6,"2015-11-06","@","ORL","L",87,92,30,86,0.349,5,23,0.217,22,29,0.759,15,44,13,5,5,9,18,13.2444444444444,1550.14663766816,33,77,0.429,9,25,0.36,17,22,0.773,6,40,22,4,4,12,25,10.44,1342.30017087143
"7",7,"2015-11-08","@","MIA","L",76,96,28,71,0.394,3,19,0.158,17,22,0.773,7,38,17,8,5,16,21,13.4777777777778,1535.08465757373,35,83,0.422,8,20,0.4,18,25,0.72,13,48,18,8,8,10,20,14.0111111111111,1491.87713839506
"8",8,"2015-11-10","","NYK","L",109,111,37,84,0.44,4,17,0.235,31,39,0.795,14,49,25,7,6,11,17,12.7111111111111,1532.73264804654,42,95,0.442,11,23,0.478,16,18,0.889,13,44,22,8,7,9,27,11.5666666666667,1291.73477989709
"9",9,"2015-11-11","@","PHI","W",119,103,43,89,0.483,5,18,0.278,28,31,0.903,17,56,22,7,7,8,18,13.1888888888889,1552.01423894817,40,87,0.46,12,29,0.414,11,17,0.647,11,37,28,2,7,11,24,8.52222222222222,1206.04930576827
"10",10,"2015-11-13","","NOP","W",100,81,34,77,0.442,9,21,0.429,23,27,0.852,13,48,19,8,5,15,19,12.9555555555556,1569.63631786092,30,82,0.366,7,23,0.304,14,20,0.7,10,38,15,10,4,14,22,9.88888888888889,1426.94617569792
