"","G","Date","X","Opp","W.L","Tm","Opp.1","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","TRB","AST","STL","BLK","TOV","PF","FG_opp","FGA_opp","FG._opp","X3P_opp","X3PA_opp","X3P._opp","FT_opp","FTA_opp","FT._opp","ORB_opp","TRB_opp","AST_opp","STL_opp","BLK_opp","TOV_opp","PF_opp"
"1",1,"10/28/15","","PHI","W",112,95,39,85,0.459,8,24,0.333,26,27,0.963,10,41,31,10,7,17,23,34,83,0.41,7,22,0.318,20,23,0.87,14,46,12,11,6,22,22
"2",2,"10/30/15","","TOR","L",103,113,32,85,0.376,7,26,0.269,32,41,0.78,7,38,23,14,3,17,28,36,82,0.439,11,26,0.423,30,35,0.857,9,53,23,11,3,21,33
"3",3,"11/1/15","","SAS","L",87,95,35,98,0.357,6,29,0.207,11,14,0.786,16,45,21,10,5,16,23,36,83,0.434,5,19,0.263,18,25,0.72,10,51,22,10,6,18,16
"4",4,"11/4/15","@","IND","L",98,100,35,83,0.422,10,27,0.37,18,22,0.818,15,49,20,7,5,19,22,35,91,0.385,8,23,0.348,22,29,0.759,21,53,18,10,1,14,20
"5",5,"11/6/15","","WAS","W",118,98,44,97,0.454,12,30,0.4,18,23,0.783,15,53,24,18,5,17,21,36,88,0.409,8,25,0.32,18,23,0.783,10,45,23,10,8,24,27
"6",6,"11/10/15","@","MIL","W",99,83,38,86,0.442,7,30,0.233,16,19,0.842,14,45,21,11,6,12,18,30,73,0.411,6,17,0.353,17,23,0.739,9,41,14,10,2,17,18
"7",7,"11/11/15","","IND","L",91,102,32,77,0.416,4,24,0.167,23,32,0.719,8,36,18,10,3,18,26,38,79,0.481,6,17,0.353,20,31,0.645,10,41,20,9,6,18,28
"8",8,"11/13/15","","ATL","W",106,93,42,103,0.408,11,33,0.333,11,12,0.917,17,50,27,10,7,10,18,36,76,0.474,6,20,0.3,15,20,0.75,5,35,26,3,2,16,14
"9",9,"11/15/15","@","OKC","W",100,85,39,82,0.476,9,23,0.391,13,20,0.65,12,47,25,12,7,18,26,28,77,0.364,6,25,0.24,23,29,0.793,10,34,18,10,6,18,20
"10",10,"11/16/15","@","HOU","W",111,95,44,93,0.473,11,36,0.306,12,17,0.706,16,49,27,16,3,19,22,36,85,0.424,11,32,0.344,12,23,0.522,14,46,23,10,6,22,20
"11",11,"11/18/15","","DAL","L",102,106,38,92,0.413,8,26,0.308,18,24,0.75,14,43,22,12,1,14,28,37,72,0.514,7,20,0.35,25,35,0.714,7,39,22,7,7,17,22
"12",12,"11/20/15","","BRK","W",120,95,51,87,0.586,10,29,0.345,8,10,0.8,7,41,39,10,4,16,19,35,89,0.393,8,19,0.421,17,24,0.708,14,44,17,10,0,19,13
"13",13,"11/22/15","@","BRK","L",101,111,35,82,0.427,14,37,0.378,17,21,0.81,10,35,19,9,2,17,28,40,79,0.506,5,15,0.333,26,33,0.788,14,49,18,11,4,14,20
"14",14,"11/24/15","@","ATL","L",97,121,34,82,0.415,9,21,0.429,20,26,0.769,10,33,23,14,2,16,19,45,80,0.563,12,24,0.5,19,22,0.864,6,43,33,8,7,20,25
"15",15,"11/25/15","","PHI","W",84,80,31,91,0.341,9,29,0.31,13,18,0.722,11,54,18,7,6,16,12,31,83,0.373,7,27,0.259,11,15,0.733,7,50,12,11,14,18,21
"16",16,"11/27/15","","WAS","W",111,78,42,97,0.433,12,33,0.364,15,19,0.789,19,58,28,11,7,15,15,27,84,0.321,5,18,0.278,19,22,0.864,13,46,16,7,4,22,19
"17",17,"11/29/15","@","ORL","L",91,110,36,88,0.409,5,27,0.185,14,20,0.7,9,34,28,7,6,11,16,45,93,0.484,9,25,0.36,11,16,0.688,17,54,24,6,7,13,20
"18",18,"11/30/15","@","MIA","W",105,95,38,80,0.475,8,20,0.4,21,25,0.84,12,40,23,15,3,15,21,36,75,0.48,5,17,0.294,18,24,0.75,11,38,21,9,6,18,19
"19",19,"12/3/15","@","SAC","W",114,97,40,84,0.476,14,33,0.424,20,24,0.833,6,40,34,14,5,16,32,29,77,0.377,7,21,0.333,32,41,0.78,9,46,21,8,4,19,20
"20",20,"12/5/15","@","SAS","L",105,108,39,86,0.453,12,29,0.414,15,22,0.682,11,39,22,9,3,14,22,44,83,0.53,5,17,0.294,15,22,0.682,11,47,26,3,3,14,22
"21",21,"12/7/15","@","NOP","W",111,93,40,81,0.494,12,28,0.429,19,24,0.792,10,46,24,8,8,17,18,37,90,0.411,4,13,0.308,15,18,0.833,13,44,21,8,6,14,17
"22",22,"12/9/15","","CHI","W",105,100,38,92,0.413,5,23,0.217,24,28,0.857,13,45,22,10,4,12,22,39,91,0.429,6,21,0.286,16,23,0.696,15,50,22,7,5,16,18
"23",23,"12/11/15","","GSW","L",119,124,49,114,0.43,12,33,0.364,9,16,0.563,11,51,32,7,9,15,30,42,107,0.393,9,31,0.29,31,39,0.795,17,67,28,10,11,18,22
"24",24,"12/12/15","@","CHO","W",98,93,40,96,0.417,9,25,0.36,9,10,0.9,3,42,26,5,5,5,13,36,88,0.409,11,35,0.314,10,10,1,7,52,17,1,5,11,12
"25",25,"12/15/15","","CLE","L",77,89,28,87,0.322,9,32,0.281,12,14,0.857,12,41,18,6,6,10,11,36,78,0.462,8,23,0.348,9,10,0.9,6,46,17,5,7,14,17
"26",26,"12/16/15","@","DET","L",116,119,43,89,0.483,10,25,0.4,20,24,0.833,10,44,17,4,2,18,35,38,78,0.487,11,21,0.524,32,43,0.744,7,36,13,5,4,11,22
"27",27,"12/18/15","","ATL","L",101,109,34,77,0.442,10,23,0.435,23,31,0.742,6,43,19,5,2,21,25,41,88,0.466,4,20,0.2,23,29,0.793,9,42,23,11,4,12,28
"28",28,"12/21/15","","MIN","W",113,99,46,89,0.517,12,25,0.48,9,16,0.563,12,50,34,6,9,16,22,36,79,0.456,2,13,0.154,25,32,0.781,6,36,20,9,6,12,19
"29",29,"12/23/15","@","CHO","W",102,89,36,85,0.424,7,29,0.241,23,26,0.885,10,49,25,9,4,13,23,29,81,0.358,8,28,0.286,23,32,0.719,12,44,19,6,6,16,18
"30",30,"12/26/15","@","DET","W",99,93,39,84,0.464,4,23,0.174,17,23,0.739,11,47,20,6,1,14,24,35,91,0.385,6,25,0.24,17,25,0.68,18,51,16,11,2,15,24
"31",31,"12/27/15","","NYK","W",100,91,36,85,0.424,8,20,0.4,20,29,0.69,12,51,18,5,4,10,24,33,89,0.371,4,19,0.211,21,24,0.875,13,48,15,6,4,13,23
"32",32,"12/30/15","","LAL","L",104,112,38,88,0.432,7,27,0.259,21,25,0.84,9,45,23,7,5,10,20,43,94,0.457,9,19,0.474,17,23,0.739,13,52,22,5,2,10,22
"33",33,"1/2/16","","BRK","L",97,100,34,88,0.386,7,32,0.219,22,28,0.786,16,51,17,8,4,14,24,38,93,0.409,3,18,0.167,21,22,0.955,14,50,23,5,2,14,21
"34",34,"1/4/16","@","BRK","W",103,94,41,92,0.446,6,21,0.286,15,19,0.789,12,48,22,10,5,7,21,32,85,0.376,6,28,0.214,24,27,0.889,16,53,16,4,6,14,18
"35",35,"1/6/16","","DET","L",94,99,34,91,0.374,6,28,0.214,20,27,0.741,13,39,23,5,5,10,28,33,74,0.446,10,27,0.37,23,36,0.639,11,47,18,4,5,18,27
"36",36,"1/7/16","@","CHI","L",92,101,35,98,0.357,5,25,0.2,17,22,0.773,15,51,17,11,3,11,19,39,94,0.415,9,22,0.409,14,17,0.824,12,54,23,4,5,16,18
"37",37,"1/10/16","@","MEM","L",98,101,37,88,0.42,7,22,0.318,17,23,0.739,11,39,22,17,4,16,28,31,84,0.369,4,16,0.25,35,40,0.875,21,58,12,8,9,21,23
"38",38,"1/12/16","@","NYK","L",114,120,42,86,0.488,9,29,0.31,21,26,0.808,7,42,25,5,4,9,20,43,81,0.531,7,20,0.35,27,30,0.9,6,39,24,5,5,11,17
"39",39,"1/13/16","","IND","W",103,94,40,90,0.444,9,26,0.346,14,20,0.7,14,49,24,7,2,19,18,37,91,0.407,5,30,0.167,15,20,0.75,13,48,18,12,3,17,20
"40",40,"1/15/16","","PHO","W",117,103,42,96,0.438,14,30,0.467,19,29,0.655,17,56,30,12,5,12,19,35,89,0.393,10,27,0.37,23,28,0.821,9,45,24,9,5,14,22
"41",41,"1/16/16","@","WAS","W",119,117,39,88,0.443,9,29,0.31,32,36,0.889,17,47,27,7,3,16,25,40,89,0.449,6,22,0.273,31,36,0.861,14,42,25,13,5,13,27
"42",42,"1/18/16","@","DAL","L",113,118,40,94,0.426,12,30,0.4,21,26,0.808,13,49,24,9,3,12,30,40,93,0.43,16,34,0.471,22,24,0.917,11,51,23,4,2,14,21
