"","G","Date","X","Opp","W.L","Tm","Opp.1","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","TRB","AST","STL","BLK","TOV","PF","FG_opp","FGA_opp","FG._opp","X3P_opp","X3PA_opp","X3P._opp","FT_opp","FTA_opp","FT._opp","ORB_opp","TRB_opp","AST_opp","STL_opp","BLK_opp","TOV_opp","PF_opp"
"1",1,"10/27/16","","BOS","W",105,99,36,92,0.391,11,25,0.44,22,30,0.733,18,55,25,5,1,12,21,38,76,0.5,8,23,0.348,15,24,0.625,3,36,22,6,6,11,25
"2",2,"10/29/16","","IND","W",118,101,45,86,0.523,9,21,0.429,19,21,0.905,13,47,34,8,6,12,14,43,88,0.489,7,18,0.389,8,9,0.889,8,33,34,8,7,13,16
"3",3,"10/31/16","@","BRK","W",118,88,45,89,0.506,11,27,0.407,17,18,0.944,13,58,26,9,9,19,22,33,96,0.344,5,31,0.161,17,21,0.81,16,45,14,12,3,15,15
"4",4,"11/2/16","@","BOS","L",100,107,35,81,0.432,7,20,0.35,23,31,0.742,15,49,21,7,7,19,19,41,87,0.471,14,32,0.438,11,17,0.647,10,39,28,10,4,12,24
"5",5,"11/4/16","","NYK","L",104,117,37,84,0.44,8,23,0.348,22,27,0.815,15,42,15,4,4,12,16,46,89,0.517,9,21,0.429,16,21,0.762,11,40,32,7,2,5,23
"6",6,"11/5/16","@","IND","L",94,111,34,79,0.43,6,18,0.333,20,25,0.8,13,40,17,8,5,16,13,46,86,0.535,12,26,0.462,7,12,0.583,8,36,27,8,9,11,20
"7",7,"11/7/16","","ORL","W",112,80,42,89,0.472,3,19,0.158,25,31,0.806,15,56,26,7,4,8,11,33,85,0.388,9,30,0.3,5,6,0.833,6,39,28,6,6,14,23
"8",8,"11/9/16","@","ATL","L",107,115,41,91,0.451,9,27,0.333,16,21,0.762,8,31,24,14,3,13,21,42,83,0.506,9,20,0.45,22,27,0.815,13,48,24,8,7,21,20
"9",9,"11/10/16","@","MIA","W",98,95,37,89,0.416,6,16,0.375,18,20,0.9,12,48,18,7,2,10,12,36,88,0.409,13,29,0.448,10,15,0.667,14,46,22,8,5,13,19
"10",10,"11/12/16","","WAS","W",106,95,39,97,0.402,5,15,0.333,23,25,0.92,15,52,21,7,6,10,20,38,91,0.418,4,13,0.308,15,18,0.833,13,49,19,3,7,12,22
"11",11,"11/15/16","@","POR","W",113,88,41,98,0.418,7,20,0.35,24,28,0.857,19,67,16,7,4,10,19,34,95,0.358,9,34,0.265,11,18,0.611,15,49,17,8,4,11,18
"12",12,"11/17/16","@","UTA","W",85,77,33,90,0.367,5,17,0.294,14,16,0.875,14,46,8,7,6,8,16,30,78,0.385,5,25,0.2,12,14,0.857,10,48,11,4,3,13,14
"13",13,"11/19/16","@","LAC","L",95,102,33,77,0.429,9,30,0.3,20,24,0.833,15,40,17,8,4,10,20,36,77,0.468,11,27,0.407,19,23,0.826,12,39,20,6,2,14,20
"14",14,"11/20/16","@","LAL","W",118,110,45,87,0.517,8,22,0.364,20,28,0.714,16,56,27,6,3,16,16,41,93,0.441,13,31,0.419,15,21,0.714,10,37,26,11,3,10,19
"15",15,"11/22/16","@","DEN","L",107,110,43,95,0.453,6,18,0.333,15,18,0.833,10,48,22,6,11,6,18,43,100,0.43,10,22,0.455,14,17,0.824,17,55,26,5,6,10,14
"16",16,"11/25/16","@","PHI","W",105,89,40,90,0.444,6,21,0.286,19,26,0.731,11,51,24,10,5,12,17,31,78,0.397,9,22,0.409,18,22,0.818,8,48,18,7,8,19,21
"17",17,"11/30/16","","LAL","L",90,96,32,91,0.352,4,21,0.19,22,29,0.759,14,46,22,15,11,14,26,33,81,0.407,2,8,0.25,28,41,0.683,18,60,17,12,3,23,24
"18",18,"12/2/16","","CLE","W",111,105,47,96,0.49,3,18,0.167,14,17,0.824,16,49,31,11,4,12,16,45,83,0.542,10,26,0.385,5,10,0.5,6,33,30,5,1,18,15
"19",19,"12/3/16","@","DAL","L",82,107,32,71,0.451,3,13,0.231,15,21,0.714,11,43,9,4,5,20,22,40,87,0.46,13,31,0.419,14,18,0.778,13,42,31,11,2,10,19
"20",20,"12/5/16","","POR","L",110,112,35,83,0.422,7,23,0.304,33,38,0.868,15,50,16,8,11,15,17,45,93,0.484,9,24,0.375,13,18,0.722,10,38,25,9,8,9,27
"21",21,"12/6/16","@","DET","L",91,102,33,75,0.44,2,15,0.133,23,32,0.719,9,45,15,6,7,14,20,40,88,0.455,8,21,0.381,14,21,0.667,9,44,24,10,5,9,23
"22",22,"12/8/16","","SAS","W",95,91,35,80,0.438,4,17,0.235,21,27,0.778,10,50,24,7,5,19,13,39,97,0.402,9,28,0.321,4,5,0.8,11,44,21,11,8,12,18
"23",23,"12/10/16","","MIA","W",105,100,38,84,0.452,1,8,0.125,28,31,0.903,12,47,17,8,6,11,15,42,91,0.462,5,20,0.25,11,18,0.611,14,43,25,5,5,12,22
"24",24,"12/13/16","","MIN","L",94,99,38,87,0.437,4,15,0.267,14,19,0.737,13,42,20,7,6,9,16,38,86,0.442,6,21,0.286,17,22,0.773,14,48,24,3,8,14,14
"25",25,"12/15/16","@","MIL","L",97,108,35,74,0.473,5,19,0.263,22,29,0.759,6,41,23,5,3,16,16,45,95,0.474,11,20,0.55,7,13,0.538,13,42,32,8,5,8,20
"26",26,"12/16/16","","MIL","L",69,95,28,92,0.304,5,21,0.238,8,15,0.533,19,50,17,7,3,12,14,38,82,0.463,10,25,0.4,9,13,0.692,11,53,26,7,4,11,14
"27",27,"12/19/16","","DET","W",113,82,49,82,0.598,8,16,0.5,7,7,1,9,46,34,9,5,13,13,34,83,0.41,3,23,0.13,11,13,0.846,10,32,19,8,3,11,8
"28",28,"12/21/16","","WAS","L",97,107,38,95,0.4,6,21,0.286,15,19,0.789,17,49,25,4,5,14,18,43,82,0.524,3,18,0.167,18,25,0.72,6,44,23,7,3,10,20
"29",29,"12/23/16","@","CHO","L",91,103,38,96,0.396,7,22,0.318,8,10,0.8,17,52,20,5,6,9,20,37,84,0.44,5,18,0.278,24,28,0.857,12,48,25,6,13,10,8
"30",30,"12/25/16","@","SAS","L",100,119,39,86,0.453,7,18,0.389,15,20,0.75,14,38,20,9,1,14,19,48,85,0.565,9,18,0.5,14,19,0.737,11,43,30,7,3,13,19
"31",31,"12/26/16","","IND","W",90,85,32,83,0.386,6,25,0.24,20,28,0.714,16,48,17,10,3,13,15,34,81,0.42,9,25,0.36,8,10,0.8,9,40,26,5,5,16,21
"32",32,"12/28/16","","BRK","W",101,99,35,88,0.398,3,13,0.231,28,29,0.966,17,54,20,8,8,18,17,37,86,0.43,13,33,0.394,12,16,0.75,9,37,21,9,6,14,22
"33",33,"12/30/16","@","IND","L",101,111,35,84,0.417,6,23,0.261,25,31,0.806,15,47,17,8,5,13,23,39,81,0.481,7,19,0.368,26,30,0.867,8,42,26,7,6,11,22
"34",34,"12/31/16","","MIL","L",96,116,33,83,0.398,10,27,0.37,20,28,0.714,14,37,23,9,5,11,21,43,76,0.566,9,15,0.6,21,27,0.778,8,42,29,7,8,12,19
"35",35,"1/2/17","","CHO","W",118,111,42,90,0.467,7,23,0.304,27,29,0.931,15,45,23,10,9,10,17,41,83,0.494,9,19,0.474,20,22,0.909,7,34,24,7,3,14,19
"36",36,"1/4/17","@","CLE","W",106,94,41,85,0.482,13,30,0.433,11,15,0.733,12,43,23,8,3,12,18,34,83,0.41,8,25,0.32,18,24,0.75,16,44,13,6,2,15,16
"37",37,"1/7/17","","TOR","W",123,118,38,97,0.392,11,28,0.393,36,39,0.923,17,60,25,5,2,14,27,37,85,0.435,8,31,0.258,36,43,0.837,6,41,20,11,5,10,22
"38",38,"1/9/17","","OKC","L",94,109,34,83,0.41,7,19,0.368,19,22,0.864,9,38,18,7,2,11,13,47,83,0.566,7,24,0.292,8,11,0.727,6,42,30,5,5,12,17
"39",39,"1/10/17","@","WAS","L",99,101,35,88,0.398,10,27,0.37,19,21,0.905,12,44,19,10,2,17,18,42,83,0.506,11,22,0.5,6,9,0.667,7,42,24,8,6,21,24
"40",40,"1/12/17","@","NYK","L",89,104,35,89,0.393,3,18,0.167,16,21,0.762,14,43,20,5,4,12,12,44,92,0.478,7,23,0.304,9,11,0.818,17,48,21,3,7,12,17
"41",41,"1/14/17","","NOP","W",107,99,43,101,0.426,8,20,0.4,13,23,0.565,21,63,22,10,6,10,20,39,84,0.464,7,23,0.304,14,21,0.667,6,42,27,3,6,11,19
"42",42,"1/15/17","@","MEM","W",108,104,40,78,0.513,4,17,0.235,24,35,0.686,6,47,18,8,5,12,14,40,95,0.421,11,32,0.344,13,13,1,13,50,24,6,3,10,22
