"","V1"
"ATL_ATL",NA
"ATL_BOS",0.667
"ATL_BRK",1
"ATL_CHI",0.667
"ATL_CHO",0.5
"ATL_CLE",0.75
"ATL_DAL",1
"ATL_DEN",0.5
"ATL_DET",0.75
"ATL_GSW",0.5
"ATL_HOU",1
"ATL_IND",1
"ATL_LAC",1
"ATL_LAL",0.5
"ATL_MEM",0.5
"ATL_MIA",1
"ATL_MIL",0.75
"ATL_MIN",1
"ATL_NOP",0.5
"ATL_NYK",0.667
"ATL_OKC",0.5
"ATL_ORL",0.75
"ATL_PHI",0.75
"ATL_PHO",1
"ATL_POR",1
"ATL_SAC",1
"ATL_SAS",0
"ATL_TOR",0.25
"ATL_UTA",1
"ATL_WAS",0.75
"BOS_ATL",0.333
"BOS_BOS",NA
"BOS_BRK",0.75
"BOS_CHI",0.25
"BOS_CHO",0.5
"BOS_CLE",0.5
"BOS_DAL",0
"BOS_DEN",1
"BOS_DET",0.667
"BOS_GSW",0
"BOS_HOU",0
"BOS_IND",0.75
"BOS_LAC",0
"BOS_LAL",0.5
"BOS_MEM",0.5
"BOS_MIA",0.25
"BOS_MIL",0.333
"BOS_MIN",0.5
"BOS_NOP",1
"BOS_NYK",0.75
"BOS_OKC",0
"BOS_ORL",0.5
"BOS_PHI",1
"BOS_PHO",0.5
"BOS_POR",0.5
"BOS_SAC",0.5
"BOS_SAS",0
"BOS_TOR",0.5
"BOS_UTA",1
"BOS_WAS",0.333
"BRK_ATL",0
"BRK_BOS",0.25
"BRK_BRK",NA
"BRK_CHI",0.25
"BRK_CHO",0.667
"BRK_CLE",0.25
"BRK_DAL",0.5
"BRK_DEN",1
"BRK_DET",0.667
"BRK_GSW",0.5
"BRK_HOU",0
"BRK_IND",0.667
"BRK_LAC",0.5
"BRK_LAL",1
"BRK_MEM",0
"BRK_MIA",0
"BRK_MIL",0.25
"BRK_MIN",0.5
"BRK_NOP",0
"BRK_NYK",1
"BRK_OKC",1
"BRK_ORL",1
"BRK_PHI",0.75
"BRK_PHO",0
"BRK_POR",0.5
"BRK_SAC",1
"BRK_SAS",0.5
"BRK_TOR",0.5
"BRK_UTA",0
"BRK_WAS",0.5
"CHI_ATL",0.333
"CHI_BOS",0.75
"CHI_BRK",0.75
"CHI_CHI",NA
"CHI_CHO",0.5
"CHI_CLE",0.25
"CHI_DAL",0.5
"CHI_DEN",0.5
"CHI_DET",0.5
"CHI_GSW",0.5
"CHI_HOU",0.5
"CHI_IND",0.5
"CHI_LAC",0.5
"CHI_LAL",0.5
"CHI_MEM",0.5
"CHI_MIA",0.667
"CHI_MIL",0.75
"CHI_MIN",1
"CHI_NOP",1
"CHI_NYK",1
"CHI_OKC",0.5
"CHI_ORL",0.5
"CHI_PHI",1
"CHI_PHO",0.5
"CHI_POR",0.5
"CHI_SAC",0.5
"CHI_SAS",0.5
"CHI_TOR",1
"CHI_UTA",0.5
"CHI_WAS",0.5
"CHO_ATL",0.5
"CHO_BOS",0.5
"CHO_BRK",0.333
"CHO_CHI",0.5
"CHO_CHO",NA
"CHO_CLE",0
"CHO_DAL",0
"CHO_DEN",1
"CHO_DET",0.5
"CHO_GSW",0
"CHO_HOU",0
"CHO_IND",0.25
"CHO_LAC",0
"CHO_LAL",0.5
"CHO_MEM",0
"CHO_MIA",0.5
"CHO_MIL",0.667
"CHO_MIN",1
"CHO_NOP",0.5
"CHO_NYK",0.75
"CHO_OKC",0
"CHO_ORL",0.5
"CHO_PHI",0.667
"CHO_PHO",0.5
"CHO_POR",0
"CHO_SAC",0
"CHO_SAS",0
"CHO_TOR",0.5
"CHO_UTA",0.5
"CHO_WAS",0.5
"CLE_ATL",0.25
"CLE_BOS",0.5
"CLE_BRK",0.75
"CLE_CHI",0.75
"CLE_CHO",1
"CLE_CLE",NA
"CLE_DAL",0.5
"CLE_DEN",0.5
"CLE_DET",0.75
"CLE_GSW",0.5
"CLE_HOU",0
"CLE_IND",0.5
"CLE_LAC",1
"CLE_LAL",1
"CLE_MEM",1
"CLE_MIA",0.5
"CLE_MIL",0.75
"CLE_MIN",1
"CLE_NOP",0.5
"CLE_NYK",0.667
"CLE_OKC",0.5
"CLE_ORL",1
"CLE_PHI",0.667
"CLE_PHO",0.5
"CLE_POR",0.5
"CLE_SAC",0.5
"CLE_SAS",0.5
"CLE_TOR",0.75
"CLE_UTA",0.5
"CLE_WAS",0.75
"DAL_ATL",0
"DAL_BOS",1
"DAL_BRK",0.5
"DAL_CHI",0.5
"DAL_CHO",1
"DAL_CLE",0.5
"DAL_DAL",NA
"DAL_DEN",0.667
"DAL_DET",0.5
"DAL_GSW",0
"DAL_HOU",0.25
"DAL_IND",0
"DAL_LAC",0.333
"DAL_LAL",1
"DAL_MEM",0.25
"DAL_MIA",0.5
"DAL_MIL",1
"DAL_MIN",1
"DAL_NOP",0.75
"DAL_NYK",1
"DAL_OKC",0.75
"DAL_ORL",1
"DAL_PHI",1
"DAL_PHO",0.25
"DAL_POR",0.5
"DAL_SAC",1
"DAL_SAS",0.5
"DAL_TOR",1
"DAL_UTA",0.75
"DAL_WAS",1
"DEN_ATL",0.5
"DEN_BOS",0
"DEN_BRK",0
"DEN_CHI",0.5
"DEN_CHO",0
"DEN_CLE",0.5
"DEN_DAL",0.333
"DEN_DEN",NA
"DEN_DET",0.5
"DEN_GSW",0.333
"DEN_HOU",0
"DEN_IND",1
"DEN_LAC",0.25
"DEN_LAL",0.75
"DEN_MEM",0.333
"DEN_MIA",0.5
"DEN_MIL",0.5
"DEN_MIN",0.75
"DEN_NOP",0.75
"DEN_NYK",0.5
"DEN_OKC",0.25
"DEN_ORL",1
"DEN_PHI",0
"DEN_PHO",0.333
"DEN_POR",0
"DEN_SAC",0.5
"DEN_SAS",0
"DEN_TOR",0
"DEN_UTA",0.5
"DEN_WAS",0
"DET_ATL",0.25
"DET_BOS",0.333
"DET_BRK",0.333
"DET_CHI",0.5
"DET_CHO",0.5
"DET_CLE",0.25
"DET_DAL",0.5
"DET_DEN",0.5
"DET_DET",NA
"DET_GSW",0
"DET_HOU",0.5
"DET_IND",0.5
"DET_LAC",0
"DET_LAL",0
"DET_MEM",0.5
"DET_MIA",0.667
"DET_MIL",0.25
"DET_MIN",0
"DET_NOP",0
"DET_NYK",0.75
"DET_OKC",0.5
"DET_ORL",0.75
"DET_PHI",0.25
"DET_PHO",0.5
"DET_POR",0
"DET_SAC",1
"DET_SAS",0.5
"DET_TOR",0.5
"DET_UTA",0
"DET_WAS",0.333
"GSW_ATL",0.5
"GSW_BOS",1
"GSW_BRK",0.5
"GSW_CHI",0.5
"GSW_CHO",1
"GSW_CLE",0.5
"GSW_DAL",1
"GSW_DEN",0.667
"GSW_DET",1
"GSW_GSW",NA
"GSW_HOU",1
"GSW_IND",0.5
"GSW_LAC",0.75
"GSW_LAL",0.75
"GSW_MEM",0.667
"GSW_MIA",1
"GSW_MIL",1
"GSW_MIN",1
"GSW_NOP",0.75
"GSW_NYK",1
"GSW_OKC",0.75
"GSW_ORL",1
"GSW_PHI",1
"GSW_PHO",0.75
"GSW_POR",1
"GSW_SAC",1
"GSW_SAS",0.333
"GSW_TOR",1
"GSW_UTA",0.75
"GSW_WAS",1
"HOU_ATL",0
"HOU_BOS",1
"HOU_BRK",1
"HOU_CHI",0.5
"HOU_CHO",1
"HOU_CLE",1
"HOU_DAL",0.75
"HOU_DEN",1
"HOU_DET",0.5
"HOU_GSW",0
"HOU_HOU",NA
"HOU_IND",1
"HOU_LAC",0.5
"HOU_LAL",0.667
"HOU_MEM",0.5
"HOU_MIA",1
"HOU_MIL",1
"HOU_MIN",1
"HOU_NOP",0.5
"HOU_NYK",1
"HOU_OKC",1
"HOU_ORL",0.5
"HOU_PHI",1
"HOU_PHO",0.75
"HOU_POR",0.333
"HOU_SAC",1
"HOU_SAS",0.25
"HOU_TOR",0.5
"HOU_UTA",0.75
"HOU_WAS",0.5
"IND_ATL",0
"IND_BOS",0.25
"IND_BRK",0.333
"IND_CHI",0.5
"IND_CHO",0.75
"IND_CLE",0.5
"IND_DAL",1
"IND_DEN",0
"IND_DET",0.5
"IND_GSW",0.5
"IND_HOU",0
"IND_IND",NA
"IND_LAC",0
"IND_LAL",0.5
"IND_MEM",0
"IND_MIA",0.75
"IND_MIL",0.5
"IND_MIN",0.5
"IND_NOP",1
"IND_NYK",1
"IND_OKC",0.5
"IND_ORL",1
"IND_PHI",0.75
"IND_PHO",0
"IND_POR",0
"IND_SAC",0
"IND_SAS",0
"IND_TOR",0
"IND_UTA",1
"IND_WAS",0.5
"LAC_ATL",0
"LAC_BOS",1
"LAC_BRK",0.5
"LAC_CHI",0.5
"LAC_CHO",1
"LAC_CLE",0
"LAC_DAL",0.667
"LAC_DEN",0.75
"LAC_DET",1
"LAC_GSW",0.25
"LAC_HOU",0.5
"LAC_IND",1
"LAC_LAC",NA
"LAC_LAL",1
"LAC_MEM",0.5
"LAC_MIA",0.5
"LAC_MIL",0.5
"LAC_MIN",1
"LAC_NOP",0.667
"LAC_NYK",1
"LAC_OKC",0.667
"LAC_ORL",1
"LAC_PHI",1
"LAC_PHO",1
"LAC_POR",0.75
"LAC_SAC",0.75
"LAC_SAS",0.5
"LAC_TOR",0
"LAC_UTA",1
"LAC_WAS",0.5
"LAL_ATL",0.5
"LAL_BOS",0.5
"LAL_BRK",0
"LAL_CHI",0.5
"LAL_CHO",0.5
"LAL_CLE",0
"LAL_DAL",0
"LAL_DEN",0.25
"LAL_DET",1
"LAL_GSW",0.25
"LAL_HOU",0.333
"LAL_IND",0.5
"LAL_LAC",0
"LAL_LAL",NA
"LAL_MEM",0
"LAL_MIA",0
"LAL_MIL",0.5
"LAL_MIN",0.75
"LAL_NOP",0
"LAL_NYK",0
"LAL_OKC",0
"LAL_ORL",0.5
"LAL_PHI",1
"LAL_PHO",0
"LAL_POR",0
"LAL_SAC",0.25
"LAL_SAS",0.333
"LAL_TOR",0.5
"LAL_UTA",0.333
"LAL_WAS",0
"MEM_ATL",0.5
"MEM_BOS",0.5
"MEM_BRK",1
"MEM_CHI",0.5
"MEM_CHO",1
"MEM_CLE",0
"MEM_DAL",0.75
"MEM_DEN",0.667
"MEM_DET",0.5
"MEM_GSW",0.333
"MEM_HOU",0.5
"MEM_IND",1
"MEM_LAC",0.5
