"","X.1","G","Date","X","Opp","W.L","Tm","Opp.1","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","TRB","AST","STL","BLK","TOV","PF","EFF","FG_opp","FGA_opp","FG._opp","X3P_opp","X3PA_opp","X3P._opp","FT_opp","FTA_opp","FT._opp","ORB_opp","TRB_opp","AST_opp","STL_opp","BLK_opp","TOV_opp","PF_opp","EFF_opp"
"1",1,1,"10/26/16","","MIN","W",102,98,36,80,0.45,11,24,0.458,19,27,0.704,11,45,19,6,11,13,25,12.3,36,86,0.419,6,18,0.333,20,29,0.69,15,45,20,6,5,10,23,13.8
"2",2,2,"10/29/16","@","NYK","L",104,111,37,86,0.43,9,25,0.36,21,26,0.808,11,40,19,3,2,12,30,10.91,40,76,0.526,6,21,0.286,25,39,0.641,6,41,24,4,4,12,25,12.2555555555556
"3",3,3,"10/30/16","","WAS","W",112,103,39,88,0.443,15,31,0.484,19,26,0.731,11,47,24,9,2,14,26,11.5444444444444,38,86,0.442,5,25,0.2,22,25,0.88,8,40,19,8,4,14,23,12.5142857142857
"4",4,4,"11/1/16","@","MIN","L",80,116,27,75,0.36,4,24,0.167,22,29,0.759,8,32,10,17,4,20,22,7.92727272727273,43,78,0.551,12,20,0.6,18,23,0.783,10,50,29,10,5,21,22,13.1777777777778
"5",5,5,"11/2/16","","NOP","W",89,83,33,94,0.351,8,27,0.296,15,20,0.75,13,52,20,12,5,17,22,12.1,30,81,0.37,11,34,0.324,12,16,0.75,5,43,17,8,9,21,26,11.4111111111111
"6",6,6,"11/4/16","","LAC","L",88,99,31,84,0.369,9,26,0.346,17,22,0.773,13,48,26,4,9,18,28,12.1,32,85,0.376,8,27,0.296,27,33,0.818,11,47,19,17,6,11,23,14.2777777777778
"7",7,7,"11/6/16","","POR","L",94,100,31,81,0.383,6,26,0.231,26,32,0.813,12,44,15,9,5,13,20,12.4555555555556,32,71,0.451,14,33,0.424,22,27,0.815,5,37,19,7,5,15,25,13.4
"8",8,8,"11/8/16","","DEN","W",108,107,44,86,0.512,7,24,0.292,13,19,0.684,8,32,29,14,5,14,30,11.8,35,70,0.5,10,24,0.417,27,34,0.794,6,39,24,6,4,22,23,14.475
"9",9,9,"11/12/16","@","MIL","L",96,106,35,78,0.449,6,30,0.2,20,21,0.952,3,32,20,8,4,13,26,10.97,36,68,0.529,7,18,0.389,27,36,0.75,5,35,20,9,5,12,20,13.2666666666667
"10",10,10,"11/14/16","@","UTA","W",102,96,36,76,0.474,8,21,0.381,22,26,0.846,14,44,13,4,2,16,26,10.9,35,73,0.479,8,28,0.286,18,22,0.818,6,29,17,8,1,8,27,12
"11",11,11,"11/16/16","@","LAC","W",111,107,40,82,0.488,15,26,0.577,16,19,0.842,9,43,24,6,2,15,22,12.5875,37,81,0.457,9,25,0.36,24,34,0.706,8,36,15,13,7,8,19,15.5125
"12",12,12,"11/18/16","@","DAL","W",80,64,31,77,0.403,9,25,0.36,9,12,0.75,7,48,16,7,3,12,25,12.4555555555556,21,73,0.288,5,25,0.2,17,22,0.773,10,45,9,3,7,17,14,10.22
"13",13,13,"11/19/16","","MIN","W",93,71,29,76,0.382,2,18,0.111,33,38,0.868,13,46,15,8,7,9,19,13.2875,25,64,0.391,7,22,0.318,14,22,0.636,5,34,16,5,5,16,25,13.7
"14",14,14,"11/21/16","@","CHO","W",105,90,40,84,0.476,12,26,0.462,13,17,0.765,6,40,24,7,8,10,24,13.2875,30,73,0.411,9,31,0.29,21,33,0.636,8,39,20,6,9,10,13,12.2666666666667
