"","X.1","G","Date","X","Opp","W.L","Tm","Opp.1","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","TRB","AST","STL","BLK","TOV","PF","EFF","FG_opp","FGA_opp","FG._opp","X3P_opp","X3PA_opp","X3P._opp","FT_opp","FTA_opp","FT._opp","ORB_opp","TRB_opp","AST_opp","STL_opp","BLK_opp","TOV_opp","PF_opp","EFF_opp"
"1",1,1,"2016-04-16","","IND","L",90,100,30,79,0.38,4,19,0.211,26,38,0.684,20,52,17,6,5,19,27,10.14,34,79,0.43,11,21,0.524,21,29,0.724,9,38,19,11,8,13,25,10.26
"2",2,2,"2016-04-18","","IND","W",98,87,35,80,0.438,5,18,0.278,23,25,0.92,12,44,19,8,5,13,25,10.7666666666667,29,70,0.414,4,20,0.2,25,30,0.833,6,33,13,7,3,13,23,10.26
"3",3,3,"2016-04-21","@","IND","W",101,85,39,94,0.415,10,31,0.323,13,16,0.813,15,45,18,6,4,11,27,11.65,26,68,0.382,6,22,0.273,27,33,0.818,9,38,16,3,6,16,18,13.5
"4",4,4,"2016-04-23","@","IND","L",83,100,27,74,0.365,8,30,0.267,21,30,0.7,11,40,12,8,3,17,20,10.14,40,85,0.471,6,16,0.375,14,18,0.778,15,43,24,10,5,12,22,11.1
"5",5,5,"2016-04-26","","IND","W",102,99,33,82,0.402,6,26,0.231,30,35,0.857,12,41,12,9,3,7,18,11.0111111111111,33,73,0.452,13,29,0.448,20,23,0.87,8,41,22,5,5,14,26,12.2
"6",6,6,"2016-04-29","@","IND","L",83,101,29,79,0.367,9,29,0.31,16,25,0.64,15,40,14,9,5,16,23,11.0111111111111,35,76,0.461,8,22,0.364,23,26,0.885,12,44,21,12,7,14,25,13.5
"7",7,7,"2016-05-01","","IND","W",89,84,34,89,0.382,8,24,0.333,13,17,0.765,18,49,21,7,7,8,12,11.825,34,73,0.466,9,19,0.474,7,8,0.875,5,38,12,5,5,13,17,13.5
"8",8,8,"2016-05-03","","MIA","L",96,102,40,89,0.449,5,21,0.238,11,15,0.733,4,41,19,10,6,15,25,11.0111111111111,40,89,0.449,8,11,0.727,14,21,0.667,11,52,12,12,4,17,17,14.2571428571429
"9",9,9,"2016-05-05","","MIA","W",96,92,39,93,0.419,4,18,0.222,14,26,0.538,13,39,14,15,1,9,21,11.925,39,79,0.494,5,14,0.357,9,13,0.692,9,45,14,6,7,21,21,12.7625
"10",10,10,"2016-05-07","@","MIA","W",95,91,33,70,0.471,8,18,0.444,21,28,0.75,6,35,16,5,0,13,22,11.925,33,77,0.429,4,18,0.222,21,24,0.875,8,38,11,8,2,9,24,10.3375
"11",11,11,"2016-05-09","@","MIA","L",87,94,33,84,0.393,6,20,0.3,15,19,0.789,7,39,12,7,2,14,23,8.98888888888889,36,80,0.45,1,15,0.067,21,25,0.84,6,39,15,9,5,11,15,10.3
"12",12,12,"2016-05-11","","MIA","W",99,91,35,81,0.432,7,17,0.412,22,26,0.846,11,39,16,10,7,9,20,9.475,31,77,0.403,6,21,0.286,23,28,0.821,13,44,12,4,2,13,22,9.64
"13",13,13,"2016-05-13","@","MIA","L",91,103,34,82,0.415,4,16,0.25,19,25,0.76,8,43,10,4,4,8,18,10.6571428571429,40,84,0.476,7,21,0.333,16,20,0.8,7,41,15,2,6,7,18,11.1875
"14",14,14,"2016-05-15","","MIA","W",116,89,39,85,0.459,9,20,0.45,29,43,0.674,20,50,17,8,4,9,23,10.6571428571429,32,72,0.444,7,25,0.28,18,23,0.783,7,30,16,6,7,13,29,11.1875
"15",15,15,"2016-05-17","@","CLE","L",84,115,32,76,0.421,5,24,0.208,15,20,0.75,4,23,19,8,1,14,25,9.88888888888889,41,74,0.554,7,20,0.35,26,33,0.788,10,45,22,9,4,16,20,13.3555555555556
"16",16,16,"2016-05-19","@","CLE","L",89,108,33,82,0.402,9,33,0.273,14,18,0.778,7,38,17,6,4,12,31,9.88888888888889,38,76,0.5,7,21,0.333,25,37,0.676,7,46,24,5,2,9,16,14.5
"17",17,17,"2016-05-21","","CLE","W",99,84,38,83,0.458,12,31,0.387,11,13,0.846,12,54,15,1,4,9,17,9.88888888888889,28,79,0.354,14,41,0.341,14,16,0.875,8,40,15,7,5,9,10,14.1
"18",18,18,"2016-05-23","","CLE","W",105,99,42,78,0.538,7,22,0.318,14,19,0.737,9,35,17,8,3,8,16,10.3428571428571,39,83,0.47,13,41,0.317,8,9,0.889,10,38,23,5,2,10,17,NA
"19",19,19,"2016-05-25","@","CLE","L",78,116,27,69,0.391,3,17,0.176,21,35,0.6,5,27,19,9,3,18,25,9.11538461538461,44,77,0.571,10,21,0.476,18,24,0.75,10,48,23,11,6,16,26,11.4727272727273
"20",20,20,"2016-05-27","","CLE","L",87,113,33,79,0.418,8,25,0.32,13,17,0.765,7,33,10,6,2,12,19,12.875,40,74,0.541,17,31,0.548,16,21,0.762,4,38,22,6,6,10,18,14.5
