Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,10/27/16,@,ATL,L,99,114,40,94,0.426,6,20,0.3,13,18,0.722,12,40,25,14,4,19,20,,44,88,0.5,12,26,0.462,14,18,0.778,14,52,28,13,7,21,19
2,2,10/30/16,@,MEM,L,103,112,38,86,0.442,5,25,0.2,22,25,0.88,8,40,19,8,4,14,23,,39,88,0.443,15,31,0.484,19,26,0.731,11,47,24,9,2,14,26
3,3,11/2/16,,TOR,L,103,113,42,72,0.583,3,10,0.3,16,24,0.667,6,36,21,8,5,20,20,,43,77,0.558,10,25,0.4,17,25,0.68,4,31,21,16,2,13,24
4,4,11/4/16,,ATL,W,95,92,31,80,0.388,5,20,0.25,28,35,0.8,11,46,13,7,3,19,23,,32,83,0.386,5,25,0.2,23,36,0.639,10,47,22,12,3,18,24
5,5,11/5/16,@,ORL,L,86,88,34,86,0.395,6,17,0.353,12,17,0.706,14,49,11,4,5,10,23,,31,78,0.397,9,28,0.321,17,27,0.63,10,43,21,4,6,8,16
6,6,11/7/16,,HOU,L,106,114,39,94,0.415,10,27,0.37,18,20,0.9,16,45,20,12,5,13,16,,41,79,0.519,17,37,0.459,15,18,0.833,6,37,28,6,7,18,18
7,7,11/9/16,,BOS,W,118,93,46,92,0.5,10,21,0.476,16,20,0.8,19,54,29,9,7,11,26,,35,81,0.432,10,31,0.323,13,22,0.591,7,31,21,5,4,11,19
8,8,11/11/16,,CLE,L,94,105,38,87,0.437,3,15,0.2,15,19,0.789,10,46,16,7,5,15,21,,36,86,0.419,14,33,0.424,19,26,0.731,13,47,16,9,6,15,21
9,9,11/12/16,@,CHI,L,95,106,38,91,0.418,4,13,0.308,15,18,0.833,13,49,19,3,7,12,22,,39,97,0.402,5,15,0.333,23,25,0.92,15,52,21,7,6,10,20
10,10,11/16/16,@,PHI,L,102,109,38,91,0.418,8,23,0.348,18,25,0.72,11,40,18,8,1,11,26,,42,77,0.545,10,28,0.357,15,22,0.682,5,41,30,6,1,17,26
11,11,11/17/16,,NYK,W,119,112,44,81,0.543,15,25,0.6,16,18,0.889,7,37,26,7,2,15,21,,41,86,0.477,12,29,0.414,18,20,0.9,10,36,23,9,1,13,20
12,12,11/19/16,,MIA,L,111,114,42,88,0.477,11,27,0.407,16,22,0.727,12,38,22,9,5,10,22,,43,85,0.506,13,27,0.481,15,26,0.577,18,48,21,5,7,16,21
13,13,11/21/16,,PHO,W,106,101,37,91,0.407,10,28,0.357,22,34,0.647,14,45,25,8,4,11,19,,39,91,0.429,11,27,0.407,12,15,0.8,13,52,22,3,7,21,24
14,14,11/25/16,@,ORL,W,94,91,40,88,0.455,6,29,0.207,8,10,0.8,7,37,26,10,4,11,17,,35,80,0.438,7,23,0.304,14,20,0.7,14,49,18,5,7,19,16
15,15,11/26/16,,SAS,L,100,112,42,88,0.477,6,22,0.273,10,14,0.714,12,40,21,11,1,12,26,,40,75,0.533,9,24,0.375,23,29,0.793,6,38,22,7,6,14,17
16,16,11/28/16,,SAC,W,101,95,35,85,0.412,10,25,0.4,21,26,0.808,11,49,22,11,7,23,23,,38,93,0.409,3,21,0.143,16,26,0.615,13,44,20,15,4,20,24
17,17,11/30/16,@,OKC,L,115,126,44,98,0.449,10,28,0.357,17,26,0.654,11,48,25,8,3,11,25,,46,95,0.484,12,30,0.4,22,31,0.71,9,47,28,10,4,13,22
